st_id,password,first_name,last_name,age,gender,nationality,completed_units,interest
60374,McPmY,Angelica,Martinez,23,Female,Malaysia,BEO6000 (Sem 3),Leadership and Strategic Management
83924,b2FQr,Jose,Gonzalez,32,Male,Indonesia,BCO7002 (Sem 4),Operations and Supply Chain Management
47438,qJqN9,Alberto,Fernandez,31,Male,Cambodia,"BEO6600 (Sem 2), BEO6000 (Sem 3), BCO7004 (Sem 4)",Data-Driven Decision Making and Analytics
17571,LzdzI,Miguel,Rivera,30,Male,Vietnam,"BCO7003 (Sem 1), BCO7005 (Sem 2), BEO6000 (Sem 3)",Marketing Strategy and Consumer Behavior
42898,MXLTs,Ismael,Ramos,31,Male,Brunei,BCO7000 (Sem 1),Marketing Strategy and Consumer Behavior
55660,mrp5H,Carlos,Garcia,34,Male,Singapore,"BCO7000 (Sem 4), BCO7006 (Sem 4), BCO7004 (Sem 4)",General Business and Management
76640,vipCD,Alberto,Cruz,31,Male,Cambodia,"BCO7000 (Sem 1), BCO7006 (Sem 1), BCO7004 (Sem 4)",Marketing Strategy and Consumer Behavior
43070,htxsh,Angelica,Santos,18,Female,Vietnam,"BCO7007 (Sem 2), BEO6000 (Sem 3), BAO6504 (Sem 1)",Operations and Supply Chain Management
31767,y1uVB,Jessica,Martinez,30,Female,Philippines,BCO6008 (Sem 2),Data-Driven Decision Making and Analytics
29493,59W2y,Carlos,Ramos,28,Male,Indonesia,"BCO6008 (Sem 2), BEO6000 (Sem 3), BCO7006 (Sem 1)",Leadership and Strategic Management
90906,vWO7D,Ricardo,Cruz,19,Male,Myanmar,"BCO7000 (Sem 1), BCO7006 (Sem 1)",Operations and Supply Chain Management
39614,hIGxV,Luisa,Reyes,31,Female,Cambodia,"BCO7004 (Sem 4), BCO7006 (Sem 1), BEO6000 (Sem 3)",Data-Driven Decision Making and Analytics
97563,ynLyv,Luisa,Santos,24,Female,Myanmar,"BEO6000 (Sem 3), BCO7004 (Sem 4)",Marketing Strategy and Consumer Behavior
08377,9uzkQ,Jessica,Flores,30,Female,Cambodia,"BCO7002 (Sem 4), BEO6600 (Sem 2), BEO6000 (Sem 3)",Data-Driven Decision Making and Analytics
21350,YHmJs,Jessica,Morales,20,Female,Vietnam,"BCO7000 (Sem 4), BCO7006 (Sem 4), BCO7007 (Sem 2), BCO7004 (Sem 4)",Information Technology and Systems
09482,tosLJ,Antonio,Torres,32,Male,Malaysia,"BCO7005 (Sem 2), BCO7002 (Sem 4)",Marketing Strategy and Consumer Behavior
51011,TKHWc,Juan,Santos,35,Male,Indonesia,"BCO7007 (Sem 2), BCO7004 (Sem 4), BAO6504 (Sem 1)",General Business and Management
78767,fMcDT,Jessica,Torres,26,Female,Philippines,BEO6000 (Sem 3),Information Technology and Systems
19986,PfNJ2,Antonio,Gonzalez,35,Male,Vietnam,"BCO7004 (Sem 4), BCO7006 (Sem 1)",Marketing Strategy and Consumer Behavior
47798,QU867,Juan,Garcia,31,Male,Vietnam,"BCO7002 (Sem 4), BEO6000 (Sem 3), BCO7000 (Sem 1)",General Business and Management
14674,UxobQ,Luisa,Ramos,33,Female,Singapore,"BCO7000 (Sem 4), BCO7006 (Sem 1), BCO7002 (Sem 4), BCO7003 (Sem 1)",Leadership and Strategic Management
72382,CmJ2Y,Jose,Ramos,22,Male,Cambodia,BCO7005 (Sem 2),General Business and Management
48470,LfXD6,Ismael,Morales,22,Male,Philippines,"BCO7000 (Sem 4), BCO7006 (Sem 4), BCO7004 (Sem 4)",Marketing Strategy and Consumer Behavior
51091,qesim,Jose,Morales,29,Male,Laos,"BEO6600 (Sem 2), BEO6000 (Sem 3)",Financial and Managerial Accounting
84413,aEY9w,Carlos,Cruz,35,Male,Brunei,BCO7003 (Sem 1),General Business and Management
38806,g0RR3,Isabela,Rivera,32,Female,Malaysia,BEO6000 (Sem 3),Financial and Managerial Accounting
85262,fzBci,Carlos,Morales,28,Male,Malaysia,"BCO7006 (Sem 1), BCO7002 (Sem 4), BEO6000 (Sem 3)",Financial and Managerial Accounting
10305,wLzkm,Miguel,Flores,21,Male,Laos,"BCO7002 (Sem 4), BCO7005 (Sem 2)",Digital Media and Content Creation
12936,L6kvh,Ricardo,Martinez,33,Male,Brunei,"BCO7000 (Sem 3), BCO7006 (Sem 2), BEO6600 (Sem 2), BEO6000 (Sem 3)",Marketing Strategy and Consumer Behavior
73914,1NcYT,Alicia,Santos,20,Female,Vietnam,BEO6000 (Sem 3),Digital Media and Content Creation
53566,jjcbu,Roberto,Martinez,28,Male,Vietnam,"BCO7002 (Sem 4), BEO6000 (Sem 3), BCO7000 (Sem 1)",General Business and Management
18837,59ZM7,Angelica,Gonzalez,34,Female,Philippines,BCO7007 (Sem 2),Financial and Managerial Accounting
06762,rH2DI,Miguel,Torres,24,Male,Philippines,BCO6008 (Sem 2),Financial and Managerial Accounting
06974,0BxL2,Alicia,Ramos,32,Female,Myanmar,BEO6000 (Sem 3),Digital Media and Content Creation
75966,DprvT,Ismael,Cruz,27,Male,Indonesia,"BCO7003 (Sem 1), BEO6000 (Sem 3), BCO7002 (Sem 4)",General Business and Management
83198,L6M8a,Veronica,Rivera,35,Female,Philippines,"BCO7004 (Sem 4), BAO6504 (Sem 1)",General Business and Management
06537,ZENvf,Veronica,Torres,19,Female,Singapore,"BEO6000 (Sem 3), BCO7004 (Sem 4), BAO6504 (Sem 1)",General Business and Management
65743,pr2Hl,Sofia,Santos,32,Female,Vietnam,BEO6000 (Sem 3),Digital Media and Content Creation
29948,t87Nt,Carmen,Gonzalez,21,Female,Brunei,"BCO7004 (Sem 4), BAO6504 (Sem 1), BEO6000 (Sem 3)",Data-Driven Decision Making and Analytics
63901,Y9OmM,Roberto,Flores,20,Male,Singapore,BCO7003 (Sem 1),Information Technology and Systems
35592,ptFZQ,Fernando,Flores,32,Male,Vietnam,"BEO6000 (Sem 3), BCO7002 (Sem 4)",Information Technology and Systems
67440,yFBlu,Veronica,Fernandez,31,Female,Thailand,BAO6504 (Sem 1),Financial and Managerial Accounting
73797,nmDy2,Sofia,Martinez,32,Female,Brunei,"BCO7005 (Sem 2), BCO7004 (Sem 4), 	
WOM1000 (Sem 1)",Information Technology and Systems
45173,y85fs,Alicia,Gonzalez,20,Female,Singapore,"BCO7000 (Sem 1), BCO7006 (Sem 2), BCO6008 (Sem 2), BEO6000 (Sem 3), BCO7003 (Sem 1)",Financial and Managerial Accounting
83182,MtKkX,Antonio,Reyes,29,Male,Cambodia,BCO7006 (Sem 1),Financial and Managerial Accounting
95536,NyXmg,Juan,Santos,19,Male,Thailand,"BAO6504 (Sem 1), BEO6000 (Sem 3)",Financial and Managerial Accounting
33135,jAca8,Ricardo,Rivera,27,Male,Malaysia,"BCO7004 (Sem 4), BEO6000 (Sem 3)",Financial and Managerial Accounting
93931,CyOOu,Roberto,Torres,21,Male,Malaysia,"BCO7000 (Sem 2), BCO7006 (Sem 2), BCO7005 (Sem 2)",Data-Driven Decision Making and Analytics
40637,S3XIj,Ismael,Fernandez,31,Male,Indonesia,"BCO7002 (Sem 4), BEO6000 (Sem 3)",Operations and Supply Chain Management
52555,ih0ia,Juan,Gonzalez,24,Male,Singapore,"BCO7000 (Sem 3), BCO7006 (Sem 3), BEO6600 (Sem 2), BEO6000 (Sem 3)",Data-Driven Decision Making and Analytics
30028,4gcFU,Rosa,Ramos,20,Female,Singapore,"BCO7000 (Sem 4), BCO7006 (Sem 4), BEO6000 (Sem 3), BCO7002 (Sem 4)",Leadership and Strategic Management
92953,XwFCY,Carlos,Santos,18,Male,Vietnam,"BAO6504 (Sem 1), BEO6600 (Sem 2), BCO7004 (Sem 4)",Financial and Managerial Accounting
88084,IFReq,Luisa,Cruz,34,Female,Vietnam,"BCO7000 (Sem 4), BCO7006 (Sem 4), BCO7002 (Sem 4)",Operations and Supply Chain Management
34025,jL0hf,Alberto,Rivera,23,Male,Malaysia,"BEO6000 (Sem 3), BCO7007 (Sem 2), BCO7002 (Sem 4)",Leadership and Strategic Management
89455,24JY3,Sofia,Morales,26,Female,Indonesia,"BCO7000 (Sem 3), BCO7006 (Sem 3), BEO6000 (Sem 3)",Digital Media and Content Creation
85386,6Be7Q,Juan,Reyes,22,Male,Philippines,"BEO6000 (Sem 3), BAO6504 (Sem 1), BCO7002 (Sem 4)",Operations and Supply Chain Management
48097,T7AJP,Ricardo,Rivera,29,Male,Myanmar,BCO7004 (Sem 4),Information Technology and Systems
55552,WtHAZ,Luisa,Gonzalez,23,Female,Philippines,"BCO7003 (Sem 1), BEO6000 (Sem 3)",Data-Driven Decision Making and Analytics
77478,TyKhc,Alberto,Torres,32,Male,Vietnam,"BCO7000 (Sem 4), BCO7006 (Sem 4), BCO7002 (Sem 4)",Data-Driven Decision Making and Analytics
60410,Q8fgr,Veronica,Morales,35,Female,Malaysia,"BCO7005 (Sem 2), BCO7003 (Sem 1)",Financial and Managerial Accounting
61140,sO44U,Alicia,Ramos,18,Female,Cambodia,BEO6000 (Sem 3),Operations and Supply Chain Management
57132,66GgI,Jessica,Reyes,21,Female,Vietnam,"BCO7000 (Sem 2), BCO7006 (Sem 4), BCO7004 (Sem 4), BCO7005 (Sem 2)",Digital Media and Content Creation
98798,KH9xN,Carmen,Flores,24,Female,Myanmar,"BCO7002 (Sem 4), BCO7006 (Sem 1)",Operations and Supply Chain Management
24926,UGLPg,Ismael,Garcia,26,Male,Laos,BEO6000 (Sem 3),General Business and Management
41519,Dh5l3,Luisa,Martinez,26,Female,Singapore,"BEO6000 (Sem 3), BCO7002 (Sem 4)",Digital Media and Content Creation
66527,ioZH7,Jessica,Morales,33,Female,Vietnam,BCO7004 (Sem 4),Information Technology and Systems
80395,Ihg7O,Angelica,Reyes,26,Female,Brunei,"BEO6600 (Sem 2), BEO6000 (Sem 3)",General Business and Management
77529,qVe9z,Veronica,Rivera,34,Female,Laos,BEO6000 (Sem 3),Operations and Supply Chain Management
30378,Rn0wl,Fernando,Reyes,18,Male,Vietnam,BCO7004 (Sem 4),Leadership and Strategic Management
29460,NHbTz,Jessica,Reyes,29,Female,Myanmar,"BCO7002 (Sem 4), BCO6008 (Sem 2)",Leadership and Strategic Management
07854,5Uh6B,Juan,Morales,31,Male,Vietnam,"BCO7000 (Sem 4), BCO7006 (Sem 4), BCO7002 (Sem 4)",Information Technology and Systems
97129,5dvQc,Isabela,Fernandez,19,Female,Vietnam,"BCO7007 (Sem 2), BCO7004 (Sem 4), BCO7003 (Sem 1)",Data-Driven Decision Making and Analytics
82055,zs4qg,Fernando,Reyes,20,Male,Philippines,"BCO7000 (Sem 4), BCO7006 (Sem 4), BCO7004 (Sem 4)",General Business and Management
36539,S7Q2o,Maria,Martinez,34,Female,Singapore,"BEO6000 (Sem 3), BCO7007 (Sem 2)",General Business and Management
52028,z5UuD,Angelica,Santos,22,Female,Brunei,BCO7004 (Sem 4),Financial and Managerial Accounting
44804,v1Tcg,Ismael,Fernandez,35,Male,Laos,"BEO6600 (Sem 2), BCO7004 (Sem 4)",General Business and Management
45376,ESrtW,Ricardo,Cruz,33,Male,Vietnam,"BEO6000 (Sem 3), BEO6600 (Sem 2), BCO7000 (Sem 1)",Data-Driven Decision Making and Analytics
68460,2WfCY,Sofia,Cruz,22,Female,Vietnam,BCO7003 (Sem 1),Financial and Managerial Accounting
73179,B7sp9,Miguel,Gonzalez,31,Male,Singapore,"BCO6008 (Sem 2), BCO7004 (Sem 4)",Information Technology and Systems
35683,FKnee,Maria,Reyes,29,Female,Brunei,"	
WOM1000 (Sem 1)",Digital Media and Content Creation
13198,khIph,Carlos,Cruz,34,Male,Cambodia,BCO7004 (Sem 4),Data-Driven Decision Making and Analytics
03441,HVGEK,Roberto,Garcia,24,Male,Brunei,BEO6000 (Sem 3),Operations and Supply Chain Management
03578,X3SWw,Fernando,Morales,31,Male,Brunei,"BCO7000 (Sem 1), BCO7006 (Sem 3), BEO6000 (Sem 3)",Leadership and Strategic Management
37247,tojxS,Isabela,Santos,23,Female,Vietnam,"BAO6504 (Sem 1), BCO6008 (Sem 2)",Data-Driven Decision Making and Analytics
31876,Clf35,Ricardo,Cruz,22,Male,Philippines,"BCO7000 (Sem 1), BCO7006 (Sem 1), BAO6504 (Sem 1), BCO7002 (Sem 4)",General Business and Management
17939,TE6MQ,Luisa,Rivera,26,Female,Singapore,"BCO7006 (Sem 1), BEO6000 (Sem 3), BCO6008 (Sem 2)",Financial and Managerial Accounting
55245,tPliu,Angelica,Reyes,22,Female,Philippines,"	
WOM1000 (Sem 1), BEO6000 (Sem 3)",Leadership and Strategic Management
00878,Zrjdf,Jessica,Santos,29,Female,Indonesia,"	
WOM1000 (Sem 1), BEO6600 (Sem 2), BCO7004 (Sem 4)",Data-Driven Decision Making and Analytics
69910,7jOjp,Luisa,Santos,29,Female,Indonesia,"BCO7000 (Sem 3), BCO7006 (Sem 3), BEO6000 (Sem 3)",Information Technology and Systems
82731,X9Vdz,Maria,Torres,35,Female,Cambodia,"BCO7002 (Sem 4), BCO7005 (Sem 2), BAO6504 (Sem 1)",Marketing Strategy and Consumer Behavior
76185,SS9yy,Luisa,Reyes,21,Female,Vietnam,"BCO7002 (Sem 4), BEO6000 (Sem 3)",Operations and Supply Chain Management
75700,7jUqg,Rosa,Fernandez,19,Female,Vietnam,"BAO6504 (Sem 1), BEO6000 (Sem 3), BCO6008 (Sem 2)",Operations and Supply Chain Management
35236,ol1CH,Veronica,Reyes,34,Female,Laos,"	
WOM1000 (Sem 1)",General Business and Management
52229,OeYcn,Veronica,Torres,20,Female,Laos,"BCO7004 (Sem 4), BEO6600 (Sem 2)",General Business and Management
89077,PDSKG,Roberto,Martinez,23,Male,Malaysia,"	
WOM1000 (Sem 1), BCO7002 (Sem 4), BCO7005 (Sem 2)",General Business and Management
90566,qNAg2,Miguel,Garcia,22,Male,Singapore,"BCO7004 (Sem 4), BCO7003 (Sem 1)",Digital Media and Content Creation
98912,eyyUJ,Carlos,Ramos,32,Male,Brunei,"BCO7002 (Sem 4), BCO7005 (Sem 2), BEO6000 (Sem 3)",Financial and Managerial Accounting
84815,pdrAW,Luisa,Flores,23,Female,Vietnam,"BEO6000 (Sem 3), BCO7004 (Sem 4), BEO6600 (Sem 2)",Information Technology and Systems
71166,3d6d7,Isabela,Flores,26,Female,Cambodia,"BEO6000 (Sem 3), BAO6504 (Sem 1)",Marketing Strategy and Consumer Behavior
41464,p4rL2,Ricardo,Rivera,25,Male,Laos,"BCO7007 (Sem 2), 	
WOM1000 (Sem 1)",Information Technology and Systems
86732,JkgyC,Carlos,Gonzalez,33,Male,Singapore,BCO7000 (Sem 1),Leadership and Strategic Management
42232,68NzO,Ismael,Martinez,31,Male,Brunei,"BEO6000 (Sem 3), BCO7005 (Sem 2), BCO7002 (Sem 4)",General Business and Management
49473,T7VXX,Sofia,Rivera,22,Female,Vietnam,"BEO6600 (Sem 2), 	
WOM1000 (Sem 1)",Leadership and Strategic Management
01983,iUGB6,Alicia,Morales,18,Female,Vietnam,"BCO7007 (Sem 2), BEO6000 (Sem 3), BCO7004 (Sem 4)",Marketing Strategy and Consumer Behavior
27750,ysLyf,Alberto,Gonzalez,30,Male,Cambodia,"BEO6000 (Sem 3), BCO7005 (Sem 2)",Operations and Supply Chain Management
37634,ZvSok,Antonio,Garcia,33,Male,Cambodia,BCO7003 (Sem 1),Operations and Supply Chain Management
33987,fVoRs,Carmen,Garcia,20,Female,Malaysia,"BCO7005 (Sem 2), BCO7002 (Sem 4), BAO6504 (Sem 1)",Leadership and Strategic Management
11313,eLLK0,Alicia,Martinez,22,Female,Vietnam,"BEO6000 (Sem 3), BCO6008 (Sem 2), BCO7004 (Sem 4)",Financial and Managerial Accounting
98312,soTfy,Jessica,Reyes,23,Female,Malaysia,"BCO7000 (Sem 3), BCO7006 (Sem 3), 	
WOM1000 (Sem 1), BEO6000 (Sem 3), BCO7004 (Sem 4)",Leadership and Strategic Management
11149,c7Kai,Luisa,Ramos,28,Female,Thailand,"BEO6000 (Sem 3), BCO7005 (Sem 2), BCO7000 (Sem 1)",Marketing Strategy and Consumer Behavior
71315,qL90M,Carlos,Santos,22,Male,Brunei,BCO7007 (Sem 2),General Business and Management
99967,9rGcc,Sofia,Fernandez,22,Female,Malaysia,BEO6600 (Sem 2),Operations and Supply Chain Management
84510,tK2wM,Luisa,Fernandez,30,Female,Vietnam,"BCO7005 (Sem 2), BEO6000 (Sem 3), 	
WOM1000 (Sem 1)",Marketing Strategy and Consumer Behavior
85436,27ZUk,Jose,Morales,35,Male,Thailand,"BCO7000 (Sem 3), BCO7006 (Sem 3), BEO6000 (Sem 3)",Marketing Strategy and Consumer Behavior
96712,hfa5W,Maria,Martinez,26,Female,Singapore,BCO7004 (Sem 4),Leadership and Strategic Management
13147,ENn2k,Antonio,Ramos,31,Male,Thailand,"BCO7000 (Sem 4), BCO7006 (Sem 4), BCO7004 (Sem 4)",Marketing Strategy and Consumer Behavior
88898,bgzLf,Roberto,Santos,26,Male,Myanmar,BCO6008 (Sem 2),Information Technology and Systems
60399,oXUnW,Rosa,Reyes,22,Female,Malaysia,"BCO7002 (Sem 4), BCO7007 (Sem 2)",Marketing Strategy and Consumer Behavior
16796,o9ICa,Maria,Morales,35,Female,Philippines,"BEO6000 (Sem 3), BCO7002 (Sem 4)",Information Technology and Systems
69702,GRNzM,Angelica,Morales,21,Female,Indonesia,BEO6000 (Sem 3),Information Technology and Systems
84538,HRmkA,Luisa,Ramos,34,Female,Cambodia,BCO7004 (Sem 4),Information Technology and Systems
03175,4IZKc,Sofia,Ramos,28,Female,Thailand,"BCO7002 (Sem 4), BCO7005 (Sem 2)",Leadership and Strategic Management
84955,1aDzC,Jose,Rivera,30,Male,Thailand,"BCO7000 (Sem 1), BCO7006 (Sem 1)",Digital Media and Content Creation
09816,VqbQ2,Ismael,Rivera,33,Male,Brunei,BCO7004 (Sem 4),Data-Driven Decision Making and Analytics
75320,4Kxvq,Miguel,Fernandez,28,Male,Vietnam,"BCO7005 (Sem 2), BEO6000 (Sem 3), BCO7004 (Sem 4)",Digital Media and Content Creation
03369,INNlf,Fernando,Santos,29,Male,Laos,BCO7002 (Sem 4),Digital Media and Content Creation
64268,wF84k,Miguel,Santos,29,Male,Philippines,"BCO7000 (Sem 1), BCO7006 (Sem 1), BCO7004 (Sem 4), BCO7003 (Sem 1)",Marketing Strategy and Consumer Behavior
57131,7sMza,Jessica,Morales,29,Female,Laos,"BEO6600 (Sem 2), BEO6000 (Sem 3)",Operations and Supply Chain Management
83475,3q6zv,Alicia,Torres,28,Female,Philippines,"BCO7000 (Sem 2), BCO7006 (Sem 4), BCO7002 (Sem 4), BCO6008 (Sem 2)",Marketing Strategy and Consumer Behavior
38004,yhJE3,Sofia,Flores,18,Female,Brunei,"BCO7000 (Sem 2), BCO7006 (Sem 3), BCO7005 (Sem 2), BEO6000 (Sem 3)",Financial and Managerial Accounting
48547,eDPgR,Angelica,Martinez,23,Female,Cambodia,"BCO7007 (Sem 2), BCO7006 (Sem 1)",Financial and Managerial Accounting
09251,EU9iH,Sofia,Martinez,22,Female,Malaysia,BEO6600 (Sem 2),Leadership and Strategic Management
55067,a69Zs,Antonio,Flores,31,Male,Laos,"BEO6600 (Sem 2), BCO7004 (Sem 4), BEO6000 (Sem 3)",General Business and Management
64855,WYcJs,Alberto,Cruz,31,Male,Laos,BCO7002 (Sem 4),General Business and Management
72018,PNrOo,Carlos,Garcia,34,Male,Vietnam,"	
WOM1000 (Sem 1)",Marketing Strategy and Consumer Behavior
76366,FVWAt,Maria,Morales,35,Female,Singapore,BEO6000 (Sem 3),General Business and Management
80146,Z035E,Carlos,Flores,34,Male,Philippines,"BEO6000 (Sem 3), BCO7007 (Sem 2), BCO7006 (Sem 1)",Digital Media and Content Creation
44388,SHxnq,Angelica,Garcia,31,Female,Myanmar,"	
WOM1000 (Sem 1), BEO6600 (Sem 2)",Marketing Strategy and Consumer Behavior
45421,7o1tt,Sofia,Ramos,25,Female,Cambodia,"BEO6000 (Sem 3), BCO7002 (Sem 4), 	
WOM1000 (Sem 1)",Digital Media and Content Creation
45160,9y8gb,Antonio,Morales,34,Male,Thailand,"BCO7000 (Sem 1), BCO6008 (Sem 2), BEO6000 (Sem 3)",Financial and Managerial Accounting
44406,hUpug,Jessica,Reyes,33,Female,Singapore,"BEO6000 (Sem 3), BEO6600 (Sem 2), BCO7000 (Sem 1)",Leadership and Strategic Management
06445,eOw1P,Ricardo,Reyes,21,Male,Brunei,"BEO6000 (Sem 3), BEO6600 (Sem 2), BCO7000 (Sem 1)",Operations and Supply Chain Management
02173,48TTh,Miguel,Fernandez,18,Male,Laos,"BCO7004 (Sem 4), BEO6000 (Sem 3), BEO6600 (Sem 2)",Financial and Managerial Accounting
29050,KQRyk,Ricardo,Flores,24,Male,Singapore,"BAO6504 (Sem 1), BEO6000 (Sem 3)",Financial and Managerial Accounting
37698,kdijZ,Jessica,Santos,28,Female,Brunei,"BCO7004 (Sem 4), BCO7000 (Sem 1)",Financial and Managerial Accounting
69778,L9HQv,Fernando,Flores,29,Male,Vietnam,BCO7005 (Sem 2),Information Technology and Systems
93138,cPUTu,Sofia,Garcia,28,Female,Malaysia,"BEO6000 (Sem 3), 	
WOM1000 (Sem 1)",Financial and Managerial Accounting
45597,eQkpP,Veronica,Flores,35,Female,Indonesia,"BEO6000 (Sem 3), BCO6008 (Sem 2), BCO7004 (Sem 4)",Leadership and Strategic Management
49878,gb1Um,Alicia,Rivera,20,Female,Myanmar,"BCO7006 (Sem 1), BEO6600 (Sem 2), BCO7002 (Sem 4)",Digital Media and Content Creation
73469,8HOxd,Veronica,Morales,35,Female,Singapore,"BCO7004 (Sem 4), BCO7006 (Sem 1), BEO6600 (Sem 2)",Leadership and Strategic Management
52029,3Ynph,Maria,Flores,28,Female,Indonesia,"	
WOM1000 (Sem 1), BCO7007 (Sem 2), BCO7004 (Sem 4)",Financial and Managerial Accounting
68834,yXmPk,Carmen,Flores,27,Female,Vietnam,BEO6000 (Sem 3),Leadership and Strategic Management
85409,qaWpc,Alberto,Martinez,24,Male,Singapore,BEO6000 (Sem 3),Operations and Supply Chain Management
48358,yagv4,Rosa,Cruz,23,Female,Indonesia,"BCO7000 (Sem 1), BCO7006 (Sem 4), BCO7004 (Sem 4)",Marketing Strategy and Consumer Behavior
19100,kslQg,Angelica,Gonzalez,30,Female,Malaysia,BAO6504 (Sem 1),Information Technology and Systems
76001,AhWVw,Ricardo,Torres,33,Male,Singapore,"BCO7003 (Sem 1), BEO6000 (Sem 3), BCO7002 (Sem 4)",Financial and Managerial Accounting
41344,0HEDc,Alicia,Ramos,21,Female,Indonesia,"BAO6504 (Sem 1), BEO6000 (Sem 3), BCO7002 (Sem 4)",Information Technology and Systems
05316,jTHRA,Jose,Garcia,22,Male,Vietnam,"BCO7002 (Sem 4), BEO6600 (Sem 2)",Financial and Managerial Accounting
04127,lXqAc,Juan,Cruz,24,Male,Cambodia,"BCO7000 (Sem 2), BCO7006 (Sem 3), BEO6000 (Sem 3), BCO7007 (Sem 2)",Data-Driven Decision Making and Analytics
50376,vd9qC,Ricardo,Torres,34,Male,Philippines,"BCO7000 (Sem 3), BCO7006 (Sem 3), BEO6000 (Sem 3)",Digital Media and Content Creation
67543,A600s,Ricardo,Torres,34,Male,Malaysia,BEO6600 (Sem 2),Leadership and Strategic Management
43724,YYnPQ,Alberto,Reyes,30,Male,Myanmar,"BCO7000 (Sem 4), BCO7006 (Sem 4), BAO6504 (Sem 1), BEO6000 (Sem 3), BCO7002 (Sem 4)",Marketing Strategy and Consumer Behavior
24471,rImIb,Jessica,Flores,24,Female,Laos,"BEO6600 (Sem 2), BCO7004 (Sem 4)",Leadership and Strategic Management
30228,8qRFM,Miguel,Garcia,27,Male,Laos,BCO7003 (Sem 1),General Business and Management
65280,bXiMX,Maria,Ramos,23,Female,Thailand,BCO6008 (Sem 2),Digital Media and Content Creation
35386,c3fen,Veronica,Ramos,32,Female,Vietnam,"BCO7000 (Sem 3), BCO7006 (Sem 4), BCO7002 (Sem 4), BEO6000 (Sem 3), BAO6504 (Sem 1)",Data-Driven Decision Making and Analytics
15643,G2vhV,Carlos,Ramos,26,Male,Indonesia,"BCO7000 (Sem 1), BCO7006 (Sem 3), BCO7004 (Sem 4), BEO6000 (Sem 3), BAO6504 (Sem 1)",Marketing Strategy and Consumer Behavior
35247,sx5u2,Angelica,Cruz,25,Female,Cambodia,"BCO7007 (Sem 2), BCO7002 (Sem 4), BCO7000 (Sem 1)",General Business and Management
63593,G2iL0,Sofia,Ramos,33,Female,Laos,"BCO7002 (Sem 4), BCO7005 (Sem 2), BEO6000 (Sem 3)",Leadership and Strategic Management
14732,O8dNW,Luisa,Fernandez,35,Female,Vietnam,"BCO7003 (Sem 1), BCO7004 (Sem 4), BCO7007 (Sem 2)",Operations and Supply Chain Management
29516,ydcwF,Angelica,Fernandez,35,Female,Singapore,"BEO6000 (Sem 3), BCO7002 (Sem 4), BCO7005 (Sem 2)",Data-Driven Decision Making and Analytics
15091,DfO62,Veronica,Fernandez,33,Female,Brunei,BCO7007 (Sem 2),Data-Driven Decision Making and Analytics
54262,2lPiJ,Maria,Reyes,23,Female,Indonesia,"BCO7002 (Sem 4), BAO6504 (Sem 1), BCO7007 (Sem 2)",General Business and Management
21606,BBzAQ,Angelica,Rivera,34,Female,Vietnam,"BCO7004 (Sem 4), BCO7000 (Sem 1)",Leadership and Strategic Management
