st_id,password,first_name,last_name,age,gender,nationality,CompletedUnit1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits,CompletedUnit4_Code,CompletedUnit4_Title,CompletedUnit4_Semester,CompletedUnit4_Credits,CompletedUnit5_Code,CompletedUnit5_Title,CompletedUnit5_Semester,CompletedUnit5_Credits,CompletedUnit6_Code,CompletedUnit6_Title,CompletedUnit6_Semester,CompletedUnit6_Credits
43214,1HRS5,Luisa,Rivera,33,Female,Thailand,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
99495,vWMdg,Alberto,Rivera,24,Male,Indonesia,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
40566,CFA2u,Luisa,Torres,31,Female,Laos,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
59307,2ZJDG,Carlos,Ramos,23,Male,Vietnam,BEO6600,Business Economics,2,12,BEO6000,Data Analysis for Business,3,12.0,BCO7006,Coding for Business Analytics,1,12.0,,,,,,,,,,,,
08492,WeIGn,Alberto,Morales,26,Male,Brunei,BAO6504,Accounting for Management,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
81655,amnEq,Luisa,Martinez,27,Female,Thailand,BCO7005,Data Security and Governance,2,12,BCO7000,Business Analytics,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
68711,smvGs,Jessica,Fernandez,21,Female,Singapore,BCO7005,Data Security and Governance,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
50517,qgLZc,Ismael,Torres,22,Male,Malaysia,BCO6008,Predictive Analytics,2,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
73523,SHOoX,Angelica,Garcia,27,Female,Singapore,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
31474,ng7Dm,Carlos,Martinez,23,Male,Indonesia,BCO7002,Experience Management,4,12,BCO7005,Data Security and Governance,2,12.0,,,,,,,,,,,,,,,,
40392,QUMIg,Carlos,Santos,21,Male,Indonesia,BAO6504,Accounting for Management,1,12,BCO6008,Predictive Analytics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
04178,NQqzT,Luisa,Morales,19,Female,Myanmar,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7003,Analytics Project M anagement,1,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,
39415,X1nAE,Miguel,Martinez,23,Male,Malaysia,BCO7000,Business Analytics,1,12,,,,,,,,,,,,,,,,,,,,
85533,sSyYU,Ricardo,Fernandez,22,Male,Indonesia,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
29720,ntSWe,Rosa,Ramos,18,Female,Vietnam,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
14402,7lQhc,Jessica,Gonzalez,18,Female,Thailand,BCO7004,Business Data Mining and Warehousing,4,12,BEO6600,Business Economics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
16549,XOb5C,Fernando,Garcia,24,Male,Malaysia,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
28262,8PFwr,Miguel,Torres,26,Male,Malaysia,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,BCO7000,Business Analytics,1,12.0,,,,,,,,,,,,
75156,Fzkz9,Angelica,Reyes,22,Female,Myanmar,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
85917,0lF96,Antonio,Reyes,18,Male,Philippines,BCO7004,Business Data Mining and Warehousing,4,12,BEO6000,Data Analysis for Business,3,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,
53491,sbdNX,Maria,Garcia,21,Female,Laos,BCO7004,Business Data Mining and Warehousing,4,12,BCO7007,Machine Learning,2,12.0,BCO7003,Analytics Project M anagement,1,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
11331,hbASs,Carmen,Santos,19,Female,Vietnam,BAO6504,Accounting for Management,1,12,BCO7007,Machine Learning,2,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
09728,GcxlV,Veronica,Santos,24,Female,Brunei,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
39652,lTpoU,Veronica,Gonzalez,28,Female,Singapore,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BAO6504,Accounting for Management,1,12.0,BCO7005,Data Security and Governance,2,12.0,WOM1000,Women in STEM,2,12.0,,,,
25668,Q9loW,Antonio,Fernandez,28,Male,Thailand,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
97787,kLLop,Sofia,Garcia,34,Female,Laos,BCO6008,Predictive Analytics,2,12,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
38597,DY4IV,Alicia,Reyes,18,Female,Malaysia,BEO6600,Business Economics,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BCO7003,Analytics Project M anagement,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
44852,hXEci,Roberto,Morales,20,Male,Brunei,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
01516,wipz1,Jessica,Garcia,32,Female,Cambodia,BEO6600,Business Economics,2,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
06048,lIkFc,Maria,Santos,26,Female,Myanmar,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
15746,5tWyb,Maria,Fernandez,34,Female,Cambodia,BEO6000,Data Analysis for Business,3,12,BAO6504,Accounting for Management,1,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
93184,TiIsa,Ricardo,Gonzalez,24,Male,Philippines,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
42203,PyWRh,Isabela,Ramos,19,Female,Singapore,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7003,Analytics Project M anagement,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
62202,BE3Vy,Roberto,Garcia,25,Male,Laos,BCO7000,Business Analytics,1,12,BCO7007,Machine Learning,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
93067,5zXVg,Juan,Ramos,26,Male,Philippines,BEO6000,Data Analysis for Business,3,12,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,,,,,
40366,EX0tO,Angelica,Torres,30,Female,Myanmar,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
10613,dyA1U,Maria,Reyes,29,Female,Thailand,WOM1000,Women in STEM,1,12,,,,,,,,,,,,,,,,,,,,
58309,fYrmT,Jessica,Rivera,21,Female,Philippines,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,BAO6504,Accounting for Management,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,1.0,12.0
13113,0STom,Antonio,Cruz,25,Male,Indonesia,BCO7005,Data Security and Governance,2,12,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,,,,,
22702,143of,Luisa,Garcia,18,Female,Singapore,BCO7002,Experience Management,4,12,BCO7000,Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
71072,UJbva,Veronica,Gonzalez,31,Female,Cambodia,BCO6008,Predictive Analytics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
84736,MjNQJ,Isabela,Rivera,19,Female,Vietnam,WOM1000,Women in STEM,1,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
78799,oTNRv,Roberto,Flores,29,Male,Brunei,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7007,Machine Learning,2,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,
05983,rciZ6,Luisa,Torres,18,Female,Singapore,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
13747,H6hWP,Ismael,Ramos,33,Male,Indonesia,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,,,,,
71138,ZHDh5,Alicia,Cruz,20,Female,Cambodia,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
34276,cpOf5,Maria,Flores,21,Female,Indonesia,BEO6000,Data Analysis for Business,3,12,BEO6600,Business Economics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
38830,GPYIf,Maria,Torres,25,Female,Laos,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
53163,oywBE,Jose,Fernandez,19,Male,Laos,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BCO6008,Predictive Analytics,2,12.0,,,,,,,,,,,,
16987,SOtjq,Jessica,Reyes,34,Female,Cambodia,BCO7007,Machine Learning,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
46666,u21cr,Carlos,Cruz,23,Male,Singapore,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7003,Analytics Project M anagement,1,12.0,BEO6600,Business Economics,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,
31024,9FhYg,Antonio,Gonzalez,23,Male,Philippines,BEO6000,Data Analysis for Business,3,12,BCO7000,Business Analytics,1,12.0,BCO7007,Machine Learning,2,12.0,,,,,,,,,,,,
19265,s9YBF,Rosa,Garcia,25,Female,Vietnam,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,4,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,
17720,QAmf8,Antonio,Martinez,35,Male,Indonesia,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
60177,SoGMT,Ricardo,Martinez,23,Male,Indonesia,BEO6000,Data Analysis for Business,3,12,BCO7007,Machine Learning,2,12.0,BCO7003,Analytics Project M anagement,1,12.0,,,,,,,,,,,,
55586,vnizr,Ismael,Morales,19,Male,Singapore,BEO6000,Data Analysis for Business,3,12,BEO6600,Business Economics,2,12.0,BCO7003,Analytics Project M anagement,1,12.0,,,,,,,,,,,,
68236,GhGwC,Ricardo,Torres,34,Male,Malaysia,WOM1000,Women in STEM,1,12,BCO6008,Predictive Analytics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
87080,BSOms,Fernando,Reyes,23,Male,Brunei,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
02782,nXsUs,Carlos,Flores,24,Male,Indonesia,BCO6008,Predictive Analytics,2,12,BCO7000,Business Analytics,1,12.0,,,,,,,,,,,,,,,,
79703,hu9QD,Antonio,Morales,26,Male,Indonesia,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,4,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7007,Machine Learning,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,
74099,gGnp6,Jose,Martinez,33,Male,Philippines,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
02847,yBvM7,Antonio,Santos,34,Male,Myanmar,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
89364,MX0ad,Ismael,Flores,35,Male,Singapore,BCO7002,Experience Management,4,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7005,Data Security and Governance,2,12.0,,,,,,,,,,,,
32887,ynQfc,Fernando,Martinez,23,Male,Thailand,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
80336,c1lkc,Ricardo,Garcia,20,Male,Laos,BAO6504,Accounting for Management,1,12,,,,,,,,,,,,,,,,,,,,
40152,oEiKX,Rosa,Santos,30,Female,Philippines,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
11798,zHhnG,Alberto,Gonzalez,31,Male,Thailand,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,,,,,,,,,,,,,,,,
55254,zJPuw,Carlos,Torres,23,Male,Malaysia,BCO7002,Experience Management,4,12,BCO7007,Machine Learning,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
27660,piF5g,Antonio,Reyes,20,Male,Vietnam,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
68984,jaYSw,Veronica,Ramos,28,Female,Thailand,WOM1000,Women in STEM,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7005,Data Security and Governance,2,12.0,,,,,,,,,,,,
88089,ZgDs2,Ismael,Garcia,31,Male,Cambodia,BCO6008,Predictive Analytics,2,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
93113,bH7CN,Antonio,Garcia,19,Male,Laos,BCO6008,Predictive Analytics,2,12,,,,,,,,,,,,,,,,,,,,
10166,ATikO,Rosa,Gonzalez,19,Female,Vietnam,BCO7007,Machine Learning,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
98962,jgyLr,Luisa,Flores,24,Female,Brunei,BCO7000,Business Analytics,1,12,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,,,,,
99120,qPAm2,Ismael,Ramos,18,Male,Indonesia,BCO7007,Machine Learning,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BCO7000,Business Analytics,1,12.0,,,,,,,,,,,,
22464,OVZ4m,Jessica,Rivera,29,Female,Laos,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
52178,X12QA,Alberto,Santos,24,Male,Philippines,BEO6600,Business Economics,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
59811,3sShR,Angelica,Flores,27,Female,Malaysia,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
41874,ekGJT,Fernando,Garcia,27,Male,Brunei,BCO7005,Data Security and Governance,2,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
47157,6qTcV,Fernando,Gonzalez,23,Male,Cambodia,BCO6008,Predictive Analytics,2,12,,,,,,,,,,,,,,,,,,,,
26034,GvP8l,Ricardo,Gonzalez,29,Male,Thailand,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
97663,65Btw,Antonio,Martinez,33,Male,Malaysia,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7002,Experience Management,4,12.0,BEO6600,Business Economics,2,12.0,BAO6504,Accounting for Management,1,12.0,,,,
35137,O2zxv,Ricardo,Torres,22,Male,Cambodia,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
35362,TzfuA,Fernando,Ramos,27,Male,Singapore,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
31597,dVKW9,Roberto,Martinez,27,Male,Vietnam,BCO7002,Experience Management,4,12,BAO6504,Accounting for Management,1,12.0,BCO7005,Data Security and Governance,2,12.0,,,,,,,,,,,,
53891,kSkLa,Jessica,Cruz,32,Female,Cambodia,BEO6000,Data Analysis for Business,3,12,BCO7005,Data Security and Governance,2,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
09439,I7WRE,Alicia,Cruz,24,Female,Vietnam,BEO6000,Data Analysis for Business,3,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
84411,q4cgI,Juan,Flores,34,Male,Singapore,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BAO6504,Accounting for Management,1,12.0,,,,,,,,,,,,
72690,kleiD,Roberto,Gonzalez,25,Male,Thailand,BEO6000,Data Analysis for Business,3,12,BAO6504,Accounting for Management,1,12.0,,,,,,,,,,,,,,,,
20178,1uVYJ,Juan,Rivera,18,Male,Thailand,BCO6008,Predictive Analytics,2,12,,,,,,,,,,,,,,,,,,,,
74399,0FFQJ,Carmen,Santos,21,Female,Thailand,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,4,12.0,,,,
53426,8cP7l,Veronica,Flores,28,Female,Vietnam,BEO6000,Data Analysis for Business,3,12,BAO6504,Accounting for Management,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
17261,YXy95,Rosa,Flores,30,Female,Malaysia,BCO7006,Coding for Business Analytics,1,12,BEO6600,Business Economics,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
58965,WX87o,Alicia,Flores,32,Female,Philippines,BCO7002,Experience Management,4,12,BCO7000,Business Analytics,1,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
00258,w6DyH,Fernando,Rivera,25,Male,Laos,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
25887,goMJC,Jose,Martinez,19,Male,Laos,BCO7004,Business Data Mining and Warehousing,4,12,BAO6504,Accounting for Management,1,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,
10658,mWNIl,Jose,Santos,31,Male,Cambodia,BCO7003,Analytics Project M anagement,1,12,BEO6000,Data Analysis for Business,3,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,
36600,W1NQo,Miguel,Ramos,20,Male,Myanmar,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
62682,EcGze,Alicia,Garcia,19,Female,Indonesia,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
51390,7uxiw,Ricardo,Flores,30,Male,Singapore,BCO7002,Experience Management,4,12,BCO6008,Predictive Analytics,2,12.0,,,,,,,,,,,,,,,,
82198,Ny55G,Luisa,Gonzalez,31,Female,Laos,BCO7004,Business Data Mining and Warehousing,4,12,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
59827,Ml3hp,Ricardo,Reyes,34,Male,Myanmar,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
05357,ZbaQP,Alicia,Santos,35,Female,Indonesia,BCO7004,Business Data Mining and Warehousing,4,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
56799,j1eYP,Antonio,Rivera,35,Male,Thailand,BCO7005,Data Security and Governance,2,12,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
60090,iNJWf,Carmen,Martinez,27,Female,Singapore,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,BEO6600,Business Economics,2,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
44365,QVKZz,Veronica,Flores,33,Female,Indonesia,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,3,12.0,WOM1000,Women in STEM,1,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,
91203,Wr3aF,Isabela,Santos,34,Female,Singapore,BEO6000,Data Analysis for Business,3,12,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
29033,3hNvr,Carlos,Cruz,24,Male,Malaysia,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
56821,HCu5q,Alberto,Rivera,28,Male,Laos,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,,,,,
59625,IeNot,Ricardo,Gonzalez,20,Male,Vietnam,BEO6000,Data Analysis for Business,3,12,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,,,,,
16957,KZkfz,Jose,Gonzalez,26,Male,Thailand,WOM1000,Women in STEM,1,12,,,,,,,,,,,,,,,,,,,,
07985,fWYbd,Isabela,Santos,26,Female,Thailand,BEO6600,Business Economics,2,12,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
26917,ZMv5f,Jose,Santos,21,Male,Singapore,WOM1000,Women in STEM,1,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
43061,2EWoT,Jose,Rivera,26,Male,Thailand,BCO7004,Business Data Mining and Warehousing,4,12,BEO6600,Business Economics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
30284,yDGyv,Isabela,Rivera,21,Female,Laos,BCO7000,Business Analytics,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
92324,Qfk7X,Angelica,Gonzalez,30,Female,Indonesia,BCO7004,Business Data Mining and Warehousing,4,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
64365,Wyb0a,Isabela,Reyes,27,Female,Laos,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
14267,Nx0Cd,Ismael,Gonzalez,32,Male,Philippines,BCO7003,Analytics Project M anagement,1,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
74053,Fti4A,Roberto,Rivera,20,Male,Singapore,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
15612,UA9KV,Veronica,Rivera,25,Female,Thailand,BCO7007,Machine Learning,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
08752,9f5nw,Jessica,Torres,31,Female,Indonesia,BCO7006,Coding for Business Analytics,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
69568,bjO40,Isabela,Garcia,19,Female,Singapore,BEO6000,Data Analysis for Business,3,12,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
46255,Khfnr,Antonio,Flores,23,Male,Indonesia,BCO7007,Machine Learning,2,12,BCO7003,Analytics Project M anagement,1,12.0,,,,,,,,,,,,,,,,
32971,MnjLX,Angelica,Gonzalez,27,Female,Malaysia,BCO7006,Coding for Business Analytics,1,12,BCO7007,Machine Learning,2,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
00052,wIrl6,Roberto,Cruz,34,Male,Cambodia,BCO7004,Business Data Mining and Warehousing,4,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
