st_id,password,first_name,last_name,age,gender,nationality,completed_units_1,completed_units_1_sem,completed_units_2,completed_units_2_sem,completed_units_3,completed_units_3_sem,interest
69597,yjgWm,Alicia,Ramos,22,Female,Vietnam,BCO7002,4,BEO6000,3.0,,,Leadership and Strategic Management
99772,QAw9d,Alicia,Santos,19,Female,Thailand,BCO6008,2,,,,,Financial and Managerial Accounting
78025,cXGHw,Isabela,Rivera,20,Female,Indonesia,BCO7000,2,BCO7006,2.0,BCO7004,4.0,Marketing Strategy and Consumer Behavior
10338,5wVpJ,Rosa,Santos,32,Female,Philippines,BEO6000,3,BCO7003,1.0,,,Data-Driven Decision Making and Analytics
11820,lxDOM,Ricardo,Martinez,18,Male,Thailand,BCO7006,1,,,,,Leadership and Strategic Management
03596,Y39WY,Rosa,Martinez,32,Female,Cambodia,BCO7000,1,BCO7006,4.0,BEO6000,3.0,Data-Driven Decision Making and Analytics
32311,bJYZ3,Ricardo,Rivera,22,Male,Thailand,"	
WOM1000",1,BEO6000,3.0,BEO6600,2.0,Data-Driven Decision Making and Analytics
01668,Q5YKj,Isabela,Reyes,28,Female,Cambodia,BCO7004,4,"	
WOM1000",1.0,BCO6008,2.0,Data-Driven Decision Making and Analytics
57441,MrXjb,Rosa,Rivera,24,Female,Vietnam,BCO6008,2,BCO7002,4.0,"	
WOM1000",1.0,Leadership and Strategic Management
16096,SAx0t,Carlos,Martinez,22,Male,Laos,BCO7003,1,BCO7002,4.0,BEO6000,3.0,General Business and Management
09268,Y9Tdc,Juan,Martinez,19,Male,Cambodia,BEO6000,3,,,,,Digital Media and Content Creation
69195,tOy60,Alberto,Fernandez,19,Male,Laos,BEO6000,3,,,,,Marketing Strategy and Consumer Behavior
34636,To1ys,Isabela,Torres,25,Female,Myanmar,BEO6000,3,BCO7002,4.0,BEO6600,2.0,Operations and Supply Chain Management
05251,eSdzY,Jessica,Santos,28,Female,Singapore,BCO7004,4,,,,,Operations and Supply Chain Management
24485,BAhH0,Ismael,Gonzalez,22,Male,Vietnam,BCO7003,1,,,,,Financial and Managerial Accounting
96327,c14YA,Antonio,Garcia,31,Male,Cambodia,BEO6600,2,BEO6000,3.0,BCO7004,4.0,Financial and Managerial Accounting
40354,SEfct,Jessica,Rivera,20,Female,Philippines,BCO7003,1,BEO6000,3.0,,,Data-Driven Decision Making and Analytics
61630,0LUVh,Veronica,Cruz,26,Female,Malaysia,BCO7007,2,BEO6000,3.0,BCO7002,4.0,Marketing Strategy and Consumer Behavior
35012,TXt0C,Roberto,Morales,30,Male,Thailand,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Financial and Managerial Accounting
86430,HAP8y,Angelica,Torres,33,Female,Myanmar,BEO6000,3,,,,,Leadership and Strategic Management
89239,0v5KI,Alberto,Santos,32,Male,Vietnam,BCO7002,4,BEO6600,2.0,BCO7006,1.0,Leadership and Strategic Management
89952,2J9ro,Ricardo,Cruz,28,Male,Singapore,BCO7007,2,BCO7002,4.0,BCO7000,1.0,Marketing Strategy and Consumer Behavior
97975,iDuaR,Juan,Santos,33,Male,Brunei,BEO6000,3,BCO7002,4.0,,,Leadership and Strategic Management
87462,zg912,Roberto,Martinez,25,Male,Laos,BCO7004,4,BEO6000,3.0,BCO7005,2.0,Operations and Supply Chain Management
19587,TX4iS,Sofia,Cruz,31,Female,Malaysia,BCO6008,2,,,,,General Business and Management
60185,SYN15,Luisa,Morales,23,Female,Cambodia,BCO7004,4,BEO6000,3.0,"	
WOM1000",1.0,Financial and Managerial Accounting
27287,ARG1d,Fernando,Cruz,19,Male,Thailand,BCO7007,2,,,,,Information Technology and Systems
78749,Ghxm2,Maria,Flores,19,Female,Brunei,BCO7000,1,BEO6600,2.0,BCO7002,4.0,General Business and Management
46576,utr6M,Roberto,Santos,18,Male,Indonesia,BCO7007,2,,,,,Financial and Managerial Accounting
44258,u1Zvu,Veronica,Fernandez,22,Female,Vietnam,BEO6000,3,BCO6008,2.0,BCO7003,1.0,General Business and Management
19951,AVx6l,Miguel,Gonzalez,28,Male,Vietnam,BCO7002,4,BEO6000,3.0,BCO7005,2.0,Financial and Managerial Accounting
09389,obvcE,Isabela,Santos,35,Female,Brunei,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Digital Media and Content Creation
96052,znCcx,Ismael,Martinez,18,Male,Philippines,BEO6000,3,,,,,Information Technology and Systems
13753,E6NJt,Alberto,Flores,28,Male,Singapore,BEO6000,3,,,,,General Business and Management
42364,BaK6r,Ismael,Morales,19,Male,Philippines,BEO6000,3,BCO7004,4.0,BAO6504,1.0,Leadership and Strategic Management
15026,4e2mE,Angelica,Fernandez,30,Female,Laos,BCO7000,1,BCO7006,1.0,BCO7003,1.0,Financial and Managerial Accounting
89170,pLA8D,Carmen,Garcia,23,Female,Philippines,BCO7000,4,BCO7006,4.0,BCO7004,4.0,Leadership and Strategic Management
22253,Wcw12,Jessica,Cruz,25,Female,Myanmar,BCO7005,2,,,,,Information Technology and Systems
83585,P3NmS,Maria,Cruz,32,Female,Philippines,BEO6000,3,"	
WOM1000",1.0,,,Financial and Managerial Accounting
23923,dgThB,Jose,Fernandez,28,Male,Cambodia,BCO7007,2,,,,,Leadership and Strategic Management
28370,GdDcn,Alicia,Flores,23,Female,Singapore,BCO7000,3,BCO7006,4.0,BEO6000,3.0,Digital Media and Content Creation
68117,ycuFA,Carlos,Fernandez,35,Male,Thailand,BEO6000,3,,,,,Operations and Supply Chain Management
90911,UyHM1,Carmen,Garcia,33,Female,Philippines,BAO6504,1,,,,,Data-Driven Decision Making and Analytics
23022,3Lf7j,Angelica,Santos,23,Female,Indonesia,BEO6000,3,,,,,Digital Media and Content Creation
69289,0BxtI,Miguel,Ramos,28,Male,Laos,BCO7000,4,BCO7006,2.0,BCO7005,2.0,Data-Driven Decision Making and Analytics
96308,vuugh,Juan,Rivera,25,Male,Malaysia,BCO7000,1,BCO7006,1.0,,,Data-Driven Decision Making and Analytics
17605,DhxXn,Fernando,Garcia,23,Male,Philippines,BCO7007,2,BCO7002,4.0,,,Data-Driven Decision Making and Analytics
45749,5Bx47,Ricardo,Rivera,28,Male,Indonesia,BEO6600,2,,,,,Operations and Supply Chain Management
84185,XNPpS,Sofia,Reyes,32,Female,Indonesia,BCO7000,1,BEO6000,3.0,BCO7004,4.0,Marketing Strategy and Consumer Behavior
56951,SATSt,Juan,Torres,31,Male,Vietnam,BCO7007,2,,,,,General Business and Management
78885,LrCvQ,Carlos,Fernandez,22,Male,Thailand,BEO6000,3,BCO7003,1.0,BCO7004,4.0,Data-Driven Decision Making and Analytics
71926,YL3EA,Rosa,Torres,22,Female,Brunei,BCO7000,1,BCO7006,4.0,BCO7002,4.0,Leadership and Strategic Management
30236,8sssP,Jose,Fernandez,29,Male,Philippines,BEO6000,3,"	
WOM1000",1.0,BCO7007,2.0,Data-Driven Decision Making and Analytics
37365,EjGFB,Antonio,Garcia,21,Male,Indonesia,BEO6600,2,,,,,Data-Driven Decision Making and Analytics
27563,BnIjt,Jessica,Torres,23,Female,Vietnam,BCO7002,4,,,,,Financial and Managerial Accounting
16139,p2E7C,Ismael,Reyes,23,Male,Malaysia,BCO7002,4,,,,,Financial and Managerial Accounting
48926,gCHYg,Alicia,Fernandez,26,Female,Myanmar,BCO7000,2,BCO7006,2.0,BCO6008,2.0,Information Technology and Systems
05747,U94bt,Roberto,Morales,28,Male,Thailand,BCO7000,1,BCO7006,1.0,BAO6504,1.0,Marketing Strategy and Consumer Behavior
07663,LHnqv,Jose,Santos,35,Male,Malaysia,BCO7000,3,BCO7006,2.0,BCO7007,2.0,Leadership and Strategic Management
35678,Nnrm9,Angelica,Ramos,20,Female,Laos,BCO7000,2,BCO7006,2.0,BCO7004,4.0,Financial and Managerial Accounting
32882,UUcgc,Antonio,Flores,22,Male,Myanmar,BEO6000,3,,,,,Leadership and Strategic Management
40943,XvbEu,Jose,Santos,31,Male,Brunei,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Financial and Managerial Accounting
52920,woSER,Luisa,Fernandez,28,Female,Laos,BCO7004,4,,,,,Financial and Managerial Accounting
61129,3GvY2,Fernando,Fernandez,33,Male,Brunei,BCO7000,4,BCO7006,4.0,BCO7002,4.0,Digital Media and Content Creation
38369,eUMut,Sofia,Gonzalez,27,Female,Vietnam,BCO7000,4,BCO7006,3.0,BCO7004,4.0,Financial and Managerial Accounting
16831,GjFWI,Angelica,Morales,32,Female,Cambodia,BCO7000,1,BEO6000,3.0,BCO6008,2.0,Digital Media and Content Creation
38963,UawLj,Alberto,Reyes,35,Male,Vietnam,BCO7000,4,BCO7006,4.0,BCO7004,4.0,Operations and Supply Chain Management
71748,VK8rA,Alicia,Reyes,25,Female,Vietnam,BEO6000,3,,,,,Marketing Strategy and Consumer Behavior
99479,e8gyi,Luisa,Reyes,26,Female,Singapore,BCO7006,1,,,,,Operations and Supply Chain Management
42577,S2r4Z,Maria,Flores,19,Female,Laos,BCO7000,3,BCO7006,3.0,BCO7004,4.0,Digital Media and Content Creation
65844,Szcli,Fernando,Ramos,22,Male,Singapore,BEO6000,3,BCO7007,2.0,,,Financial and Managerial Accounting
75776,YYJGl,Jose,Rivera,34,Male,Laos,BCO7000,1,BCO7006,1.0,BCO7005,2.0,Operations and Supply Chain Management
05422,lC4iu,Ismael,Reyes,19,Male,Indonesia,BCO6008,2,,,,,Information Technology and Systems
36508,wHcN1,Carmen,Rivera,26,Female,Cambodia,BCO7004,4,,,,,General Business and Management
73040,P0AMw,Carlos,Morales,33,Male,Myanmar,BCO7007,2,BEO6000,3.0,"	
WOM1000",1.0,Data-Driven Decision Making and Analytics
88556,qoz9p,Luisa,Santos,21,Female,Singapore,BCO7002,4,,,,,Marketing Strategy and Consumer Behavior
01242,5jcK4,Angelica,Rivera,26,Female,Cambodia,BCO7000,1,BCO7004,4.0,BEO6000,3.0,Operations and Supply Chain Management
18414,1OIhf,Juan,Santos,27,Male,Indonesia,BEO6000,3,BCO7005,2.0,,,General Business and Management
10145,d5sFU,Jose,Martinez,28,Male,Laos,BCO7007,2,,,,,Information Technology and Systems
61365,dckpz,Sofia,Fernandez,24,Female,Vietnam,"	
WOM1000",1,BCO7007,2.0,,,Financial and Managerial Accounting
43638,59wiY,Luisa,Fernandez,22,Female,Vietnam,BCO7000,1,,,,,Digital Media and Content Creation
46853,ekLbI,Rosa,Morales,30,Female,Malaysia,BCO7004,4,BEO6000,3.0,,,Financial and Managerial Accounting
94388,AjbH3,Jose,Flores,30,Male,Indonesia,BCO7003,1,,,,,Digital Media and Content Creation
16170,1vfd8,Miguel,Martinez,31,Male,Brunei,BCO7002,4,BAO6504,1.0,,,Information Technology and Systems
47303,t5Snb,Juan,Santos,27,Male,Myanmar,BEO6000,3,,,,,General Business and Management
24482,qFaPt,Ricardo,Garcia,35,Male,Laos,BCO7006,1,,,,,Data-Driven Decision Making and Analytics
56440,GCeKS,Miguel,Ramos,29,Male,Laos,BCO6008,2,,,,,Financial and Managerial Accounting
08005,CDEPN,Fernando,Rivera,19,Male,Laos,BCO7006,1,,,,,Operations and Supply Chain Management
71410,d4psu,Maria,Torres,19,Female,Cambodia,BCO7000,4,BCO7006,4.0,BCO7004,4.0,Marketing Strategy and Consumer Behavior
45465,M504r,Angelica,Cruz,31,Female,Indonesia,BCO7000,3,BCO7006,3.0,BEO6000,3.0,General Business and Management
10786,QiJIT,Ismael,Gonzalez,24,Male,Indonesia,BCO7005,2,BEO6000,3.0,"	
WOM1000",1.0,General Business and Management
29535,JhUvE,Jessica,Rivera,27,Female,Malaysia,BCO7000,3,BCO7006,3.0,BAO6504,1.0,Marketing Strategy and Consumer Behavior
33992,hmBnu,Alicia,Torres,19,Female,Malaysia,BAO6504,1,BCO7004,4.0,,,Financial and Managerial Accounting
52210,5QRBy,Sofia,Flores,20,Female,Myanmar,BEO6000,3,BCO7004,4.0,,,Information Technology and Systems
94794,7m57U,Angelica,Fernandez,28,Female,Indonesia,BEO6000,3,,,,,Leadership and Strategic Management
49090,TzWEo,Angelica,Rivera,22,Female,Singapore,BCO7004,4,BCO7003,1.0,,,Data-Driven Decision Making and Analytics
06154,2xtRE,Juan,Ramos,24,Male,Vietnam,BCO7003,1,BCO7002,4.0,,,Financial and Managerial Accounting
89044,XS5C2,Luisa,Fernandez,24,Female,Brunei,BCO7000,4,BCO7006,4.0,BCO7004,4.0,Leadership and Strategic Management
22964,bT2M2,Antonio,Garcia,29,Male,Malaysia,BCO7000,2,BCO7006,1.0,"	
WOM1000",1.0,Financial and Managerial Accounting
63352,luMSC,Ismael,Rivera,21,Male,Singapore,BEO6000,3,,,,,Financial and Managerial Accounting
22154,5F9Qh,Sofia,Cruz,21,Female,Philippines,BCO7004,4,,,,,Financial and Managerial Accounting
56891,3EYY3,Alberto,Martinez,34,Male,Philippines,BCO7006,1,,,,,Financial and Managerial Accounting
22974,dQigr,Angelica,Cruz,21,Female,Cambodia,BCO7000,1,BCO7006,1.0,,,Operations and Supply Chain Management
50545,uFyla,Miguel,Martinez,24,Male,Singapore,BCO7000,4,BCO7006,1.0,BCO6008,2.0,Marketing Strategy and Consumer Behavior
15771,7rzVz,Ismael,Torres,31,Male,Indonesia,BCO7003,1,BCO7002,4.0,,,Leadership and Strategic Management
37821,ffqZK,Carmen,Morales,30,Female,Indonesia,BCO6008,2,BEO6000,3.0,,,Leadership and Strategic Management
40447,XUdp6,Luisa,Gonzalez,35,Female,Cambodia,BEO6000,3,BEO6600,2.0,,,Data-Driven Decision Making and Analytics
02990,BLlfJ,Rosa,Reyes,33,Female,Indonesia,BCO6008,2,BCO7000,1.0,,,Financial and Managerial Accounting
33688,Lyelf,Maria,Gonzalez,19,Female,Malaysia,BCO7002,4,BEO6000,3.0,,,Digital Media and Content Creation
42216,lbiNy,Alberto,Flores,23,Male,Vietnam,BEO6000,3,,,,,Digital Media and Content Creation
93846,op27s,Jose,Rivera,19,Male,Indonesia,BCO7004,4,,,,,Financial and Managerial Accounting
98752,eUwAc,Angelica,Cruz,18,Female,Brunei,BEO6000,3,BCO7006,1.0,,,Data-Driven Decision Making and Analytics
63219,C5wD5,Ismael,Martinez,21,Male,Thailand,BCO7007,2,BCO7004,4.0,BCO7003,1.0,Operations and Supply Chain Management
94889,Fmslh,Ismael,Flores,35,Male,Cambodia,BCO7002,4,,,,,General Business and Management
36311,XVhiW,Carlos,Torres,21,Male,Malaysia,BEO6000,3,,,,,Marketing Strategy and Consumer Behavior
78682,7nbQS,Luisa,Morales,20,Female,Brunei,BEO6600,2,,,,,Information Technology and Systems
63117,mHCVm,Alicia,Garcia,19,Female,Thailand,BEO6600,2,BCO7004,4.0,,,Data-Driven Decision Making and Analytics
82851,dlFJ1,Jessica,Santos,28,Female,Indonesia,"	
WOM1000",1,BCO7004,4.0,,,Data-Driven Decision Making and Analytics
02256,wQH0U,Carlos,Gonzalez,18,Male,Malaysia,BCO7006,1,,,,,Financial and Managerial Accounting
43542,t4ADS,Carlos,Fernandez,33,Male,Indonesia,BCO7000,1,BCO7006,2.0,BEO6600,2.0,Marketing Strategy and Consumer Behavior
76972,DDXLj,Ismael,Flores,18,Male,Laos,BAO6504,1,BCO7004,4.0,BCO6008,2.0,Financial and Managerial Accounting
68655,U4ZjK,Jose,Ramos,26,Male,Indonesia,BEO6000,3,,,,,Operations and Supply Chain Management
54031,92I3K,Maria,Fernandez,23,Female,Indonesia,BCO7007,2,BAO6504,1.0,,,Digital Media and Content Creation
78994,865Wh,Fernando,Martinez,22,Male,Brunei,BCO7002,4,BEO6000,3.0,BCO7003,1.0,Data-Driven Decision Making and Analytics
09270,QF0GS,Carlos,Reyes,25,Male,Singapore,BEO6000,3,BCO7004,4.0,BEO6600,2.0,Operations and Supply Chain Management
08968,Hl4ux,Luisa,Torres,30,Female,Brunei,BCO7000,2,BCO7006,2.0,BCO7005,2.0,Operations and Supply Chain Management
14211,cMZ0Q,Isabela,Ramos,35,Female,Vietnam,BCO7003,1,BCO6008,2.0,,,General Business and Management
90380,ZvWJH,Luisa,Martinez,25,Female,Myanmar,"	
WOM1000",1,BCO7002,4.0,,,Information Technology and Systems
60708,fn5dt,Veronica,Santos,20,Female,Malaysia,BCO7002,4,,,,,Leadership and Strategic Management
62440,owN9T,Veronica,Martinez,30,Female,Myanmar,BAO6504,1,BEO6600,2.0,,,Data-Driven Decision Making and Analytics
10207,OmQ5x,Alicia,Reyes,34,Female,Singapore,BCO7000,1,BCO7006,2.0,BCO7005,2.0,Marketing Strategy and Consumer Behavior
94433,cZdUL,Alberto,Flores,26,Male,Brunei,BEO6600,2,,,,,Financial and Managerial Accounting
01997,8sOYO,Sofia,Morales,32,Female,Singapore,BEO6000,3,BCO6008,2.0,,,Data-Driven Decision Making and Analytics
26892,TwLYQ,Antonio,Santos,32,Male,Philippines,BEO6000,3,BCO7000,1.0,,,Financial and Managerial Accounting
11869,F4Q1Z,Rosa,Rivera,32,Female,Thailand,BCO6008,2,BCO7006,1.0,,,Marketing Strategy and Consumer Behavior
24264,qj78B,Alicia,Flores,31,Female,Thailand,BEO6000,3,BCO7005,2.0,BAO6504,1.0,Information Technology and Systems
12759,V7kBd,Rosa,Flores,23,Female,Brunei,BEO6000,3,"	
WOM1000",1.0,,,Financial and Managerial Accounting
27399,IOSuJ,Isabela,Reyes,32,Female,Singapore,BCO7000,1,BCO6008,2.0,,,Leadership and Strategic Management
25976,e7XFF,Carlos,Flores,20,Male,Brunei,BCO7003,1,,,,,Data-Driven Decision Making and Analytics
97976,AfwRG,Sofia,Garcia,23,Female,Myanmar,BCO7002,4,BCO7000,1.0,BCO7007,2.0,Digital Media and Content Creation
45252,2WKsd,Juan,Morales,27,Male,Indonesia,BCO7004,4,BCO7005,2.0,,,Financial and Managerial Accounting
27666,ho2UG,Juan,Martinez,24,Male,Malaysia,BCO7007,2,,,,,Information Technology and Systems
01974,6GgiX,Roberto,Garcia,32,Male,Indonesia,BCO7007,2,,,,,Marketing Strategy and Consumer Behavior
43083,ArJ3r,Juan,Gonzalez,33,Male,Malaysia,BCO7007,2,BEO6000,3.0,BAO6504,1.0,Digital Media and Content Creation
12780,6X3bq,Ismael,Flores,19,Male,Laos,BEO6000,3,BCO7005,2.0,BCO7003,1.0,Financial and Managerial Accounting
98482,616Ol,Carlos,Flores,26,Male,Brunei,BCO7002,4,,,,,Information Technology and Systems
57514,FrBea,Antonio,Santos,19,Male,Indonesia,BAO6504,1,BCO6008,2.0,,,General Business and Management
69729,OAn4c,Juan,Ramos,20,Male,Cambodia,BCO7006,1,,,,,Digital Media and Content Creation
77129,s1wWZ,Alberto,Ramos,32,Male,Vietnam,BCO6008,2,BEO6000,3.0,,,Marketing Strategy and Consumer Behavior
22101,dyQYc,Angelica,Morales,29,Female,Indonesia,BCO7000,3,BCO7006,1.0,BEO6000,3.0,Leadership and Strategic Management
46959,nhrRu,Angelica,Ramos,35,Female,Cambodia,BCO7000,1,BCO7006,1.0,BCO7003,1.0,Operations and Supply Chain Management
06382,kvk2C,Roberto,Flores,34,Male,Thailand,BCO7000,1,BCO7006,4.0,BEO6000,3.0,General Business and Management
22504,7SxiK,Fernando,Santos,29,Male,Philippines,BCO7000,2,BCO7006,2.0,BEO6600,2.0,Leadership and Strategic Management
97866,FSwg9,Miguel,Santos,28,Male,Philippines,BCO7000,4,BCO7006,4.0,BCO7002,4.0,Financial and Managerial Accounting
33027,7BIDo,Angelica,Garcia,18,Female,Singapore,BCO7000,4,BCO7006,4.0,BCO7002,4.0,Operations and Supply Chain Management
