st_id,password,first_name,last_name,age,gender,nationality,interest,CompletedUnit_1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit_2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit_3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits
18884,UYkvh,Alicia,Morales,21,Female,Philippines,General Business and Management,BEO6000,Data Analysis for Business,Sem 3,12,BCO6008,Predictive Analytics,Sem 2,12.0,,,,
32937,vaB9G,Ismael,Reyes,29,Male,Vietnam,Leadership and Strategic Management,BCO6008,Predictive Analytics,Sem 2,12,,,,,,,,
49860,wk2TA,Jessica,Morales,28,Female,Cambodia,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
10922,Num4Z,Miguel,Garcia,30,Male,Thailand,Information Technology and Systems,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
78109,phAqD,Rosa,Ramos,25,Female,Laos,General Business and Management,BEO6600,Business Economics,Sem 2,12,BAO6504,Accounting for Management,Sem 1,12.0,,,,
82106,BylIF,Veronica,Gonzalez,22,Female,Malaysia,Information Technology and Systems,BCO7007,Machine Learning,Sem 2,12,BCO7005,Data Security and Governance,Sem 2,12.0,,,,
18277,jEy7J,Ismael,Rivera,32,Male,Vietnam,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
69490,pl8c4,Carlos,Reyes,19,Male,Singapore,General Business and Management,BCO7003,Analytics Project M anagement,Sem 1,12,BEO6600,Business Economics,Sem 2,12.0,,,,
75218,r7zji,Roberto,Martinez,35,Male,Cambodia,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
60437,5YBWb,Isabela,Gonzalez,20,Female,Laos,Information Technology and Systems,BCO7002,Experience Management,Sem 4,12,WOM1000,Women in STEM,Sem 1,12.0,,,,
74772,lPkVv,Fernando,Martinez,26,Male,Philippines,Leadership and Strategic Management,WOM1000,Women in STEM,Sem 1,12,,,,,,,,
33178,pe5B5,Fernando,Torres,24,Male,Malaysia,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
47264,cPzty,Rosa,Reyes,30,Female,Cambodia,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
81711,VbZwb,Alberto,Cruz,19,Male,Indonesia,Digital Media and Content Creation,WOM1000,Women in STEM,Sem 1,12,BCO7002,Experience Management,Sem 4,12.0,,,,
37266,MQpip,Carmen,Garcia,22,Female,Philippines,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
15782,Qbfev,Antonio,Gonzalez,24,Male,Singapore,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6000,Data Analysis for Business,Sem 3,12.0
53682,Y0hvn,Alicia,Santos,26,Female,Brunei,Digital Media and Content Creation,BCO7003,Analytics Project M anagement,Sem 1,12,,,,,,,,
47715,mGyIz,Isabela,Morales,34,Female,Philippines,Marketing Strategy and Consumer Behavior,BCO7002,Experience Management,Sem 4,12,,,,,,,,
94749,5GrpG,Veronica,Torres,31,Female,Laos,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6000,Data Analysis for Business,Sem 3,12.0
63262,Nth5c,Luisa,Gonzalez,23,Female,Cambodia,General Business and Management,BCO7007,Machine Learning,Sem 2,12,,,,,,,,
41964,I21sp,Ismael,Cruz,20,Male,Singapore,Financial and Managerial Accounting,BEO6000,Data Analysis for Business,Sem 3,12,BCO7000,Business Analytics,Sem 1,12.0,,,,
63027,PyxK3,Miguel,Martinez,32,Male,Thailand,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6600,Business Economics,Sem 2,12.0
72697,Vhgj0,Alberto,Gonzalez,21,Male,Indonesia,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
47884,wkMan,Isabela,Fernandez,25,Female,Laos,Operations and Supply Chain Management,BEO6000,Data Analysis for Business,Sem 3,12,,,,,,,,
71371,nhmu1,Jose,Ramos,28,Male,Brunei,Financial and Managerial Accounting,BEO6600,Business Economics,Sem 2,12,BCO6008,Predictive Analytics,Sem 2,12.0,,,,
38283,fYrzg,Jose,Cruz,24,Male,Vietnam,Leadership and Strategic Management,BEO6000,Data Analysis for Business,Sem 3,12,BCO7002,Experience Management,Sem 4,12.0,,,,
05540,wqQh0,Angelica,Ramos,21,Female,Brunei,Operations and Supply Chain Management,BCO7000,Business Analytics,Sem 1,12,BCO7003,Analytics Project M anagement,Sem 1,12.0,,,,
76732,flxS2,Veronica,Flores,27,Female,Brunei,Operations and Supply Chain Management,BCO7007,Machine Learning,Sem 2,12,,,,,,,,
56263,OKSs2,Ricardo,Garcia,20,Male,Vietnam,Leadership and Strategic Management,WOM1000,Women in STEM,Sem 1,12,BCO7002,Experience Management,Sem 4,12.0,,,,
34389,Ltx9J,Veronica,Torres,26,Female,Myanmar,Marketing Strategy and Consumer Behavior,BCO6008,Predictive Analytics,Sem 2,12,,,,,,,,
49217,xfGRS,Roberto,Ramos,26,Male,Vietnam,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
86611,6ZhMX,Carlos,Gonzalez,29,Male,Indonesia,Operations and Supply Chain Management,BCO6008,Predictive Analytics,Sem 2,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
84894,knA2o,Angelica,Morales,32,Female,Cambodia,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
10669,LEKeu,Alicia,Garcia,35,Female,Laos,Information Technology and Systems,BEO6600,Business Economics,Sem 2,12,,,,,,,,
90675,lfjIP,Ricardo,Santos,30,Male,Cambodia,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,Sem 4,12,BEO6600,Business Economics,Sem 2,12.0,,,,
24652,CVma3,Jose,Reyes,22,Male,Indonesia,Information Technology and Systems,BCO6008,Predictive Analytics,Sem 2,12,,,,,,,,
47522,N7g7Y,Roberto,Garcia,18,Male,Myanmar,Operations and Supply Chain Management,BAO6504,Accounting for Management,Sem 1,12,,,,,,,,
60444,I8CLL,Carmen,Flores,22,Female,Myanmar,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,WOM1000,Women in STEM,Sem 1,12.0
23629,RKg0n,Angelica,Rivera,33,Female,Malaysia,Leadership and Strategic Management,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
00101,hP0Vf,Carlos,Garcia,18,Male,Myanmar,Leadership and Strategic Management,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
84391,0xM0U,Miguel,Ramos,20,Male,Philippines,Digital Media and Content Creation,BEO6600,Business Economics,Sem 2,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
33646,59dKd,Jose,Martinez,31,Male,Thailand,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
42334,uRGXD,Alberto,Reyes,31,Male,Cambodia,General Business and Management,WOM1000,Women in STEM,Sem 1,12,,,,,,,,
87378,4XSc8,Alberto,Rivera,33,Male,Myanmar,Operations and Supply Chain Management,BCO7006,Coding for Business Analytics,Sem 1,12,,,,,,,,
86395,GeC8a,Veronica,Fernandez,26,Female,Myanmar,General Business and Management,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
59610,BeWwj,Ricardo,Flores,25,Male,Philippines,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
96409,e4mMm,Jessica,Garcia,22,Female,Brunei,Operations and Supply Chain Management,BCO7003,Analytics Project M anagement,Sem 1,12,,,,,,,,
57831,z4Gx9,Isabela,Flores,30,Female,Cambodia,Operations and Supply Chain Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7003,Analytics Project M anagement,Sem 1,12.0
97202,GhsBD,Veronica,Morales,18,Female,Malaysia,Data-Driven Decision Making and Analytics,BAO6504,Accounting for Management,Sem 1,12,,,,,,,,
15207,Vrd9U,Sofia,Martinez,25,Female,Singapore,Digital Media and Content Creation,BCO6008,Predictive Analytics,Sem 2,12,,,,,,,,
97395,QRvXw,Alberto,Fernandez,31,Male,Philippines,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,WOM1000,Women in STEM,Sem 1,12.0
61848,NIsNM,Isabela,Flores,34,Female,Cambodia,Data-Driven Decision Making and Analytics,BCO7003,Analytics Project M anagement,Sem 1,12,,,,,,,,
37396,lGHth,Rosa,Santos,30,Female,Laos,Digital Media and Content Creation,BAO6504,Accounting for Management,Sem 1,12,,,,,,,,
54327,ofvdj,Ricardo,Ramos,27,Male,Myanmar,Leadership and Strategic Management,BCO7006,Coding for Business Analytics,Sem 1,12,,,,,,,,
26829,18DHi,Fernando,Flores,32,Male,Laos,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
12061,1lPnC,Miguel,Martinez,18,Male,Cambodia,Information Technology and Systems,BCO7002,Experience Management,Sem 4,12,,,,,,,,
03745,x4GVr,Antonio,Gonzalez,33,Male,Myanmar,Marketing Strategy and Consumer Behavior,BCO7005,Data Security and Governance,Sem 2,12,,,,,,,,
21187,SWwAd,Fernando,Fernandez,29,Male,Philippines,Financial and Managerial Accounting,BCO7004,Business Data Mining and Warehousing,Sem 4,12,BCO7005,Data Security and Governance,Sem 2,12.0,,,,
30372,LlC2M,Jessica,Torres,20,Female,Myanmar,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
86928,BMHR2,Jessica,Ramos,31,Female,Cambodia,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
71158,6mZiT,Roberto,Flores,32,Male,Vietnam,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
97252,vf8QY,Fernando,Torres,29,Male,Indonesia,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
02623,eVjgs,Veronica,Morales,19,Female,Indonesia,Marketing Strategy and Consumer Behavior,BEO6600,Business Economics,Sem 2,12,,,,,,,,
08324,CskeS,Sofia,Martinez,22,Female,Vietnam,General Business and Management,BCO7007,Machine Learning,Sem 2,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,,,,
39402,wGyYx,Carlos,Cruz,26,Male,Thailand,Information Technology and Systems,BCO7003,Analytics Project M anagement,Sem 1,12,BCO7005,Data Security and Governance,Sem 2,12.0,,,,
89659,hhTEB,Fernando,Gonzalez,25,Male,Philippines,Digital Media and Content Creation,BCO6008,Predictive Analytics,Sem 2,12,BAO6504,Accounting for Management,Sem 1,12.0,,,,
01727,lUJe9,Luisa,Cruz,33,Female,Indonesia,Financial and Managerial Accounting,BCO7007,Machine Learning,Sem 2,12,,,,,,,,
07414,w5dvw,Veronica,Torres,34,Female,Laos,Information Technology and Systems,BCO7002,Experience Management,Sem 4,12,BCO7007,Machine Learning,Sem 2,12.0,,,,
16116,xnk0E,Alicia,Flores,20,Female,Singapore,Financial and Managerial Accounting,BCO7007,Machine Learning,Sem 2,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
18339,6MEMM,Rosa,Torres,18,Female,Cambodia,Financial and Managerial Accounting,BEO6600,Business Economics,Sem 2,12,,,,,,,,
23149,ETPjg,Ricardo,Fernandez,20,Male,Vietnam,Operations and Supply Chain Management,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
91650,17ftz,Jose,Gonzalez,28,Male,Malaysia,Operations and Supply Chain Management,BAO6504,Accounting for Management,Sem 1,12,WOM1000,Women in STEM,Sem 1,12.0,,,,
61123,XvPg3,Jose,Garcia,29,Male,Indonesia,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
42366,TjLlh,Ricardo,Santos,24,Male,Cambodia,Leadership and Strategic Management,BEO6600,Business Economics,Sem 2,12,,,,,,,,
35237,hwNIu,Antonio,Rivera,18,Male,Vietnam,Digital Media and Content Creation,BCO7004,Business Data Mining and Warehousing,Sem 4,12,BEO6600,Business Economics,Sem 2,12.0,,,,
19399,Y0zf0,Sofia,Flores,29,Female,Indonesia,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
11620,vrSpY,Ricardo,Martinez,21,Male,Brunei,Marketing Strategy and Consumer Behavior,BCO7004,Business Data Mining and Warehousing,Sem 4,12,WOM1000,Women in STEM,Sem 1,12.0,,,,
96648,j2IgH,Maria,Ramos,31,Female,Cambodia,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
46791,yIztN,Juan,Morales,19,Male,Malaysia,Marketing Strategy and Consumer Behavior,BEO6600,Business Economics,Sem 2,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
30004,bZfvJ,Juan,Torres,23,Male,Malaysia,Digital Media and Content Creation,BCO6008,Predictive Analytics,Sem 2,12,,,,,,,,
24660,cJEwB,Jose,Gonzalez,25,Male,Brunei,Information Technology and Systems,WOM1000,Women in STEM,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,,,,
13627,cM8Jd,Ismael,Garcia,31,Male,Indonesia,Information Technology and Systems,BCO7007,Machine Learning,Sem 2,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,,,,
87183,pBq0J,Ismael,Flores,23,Male,Cambodia,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
10285,BRM4L,Sofia,Flores,30,Female,Myanmar,Marketing Strategy and Consumer Behavior,BCO7005,Data Security and Governance,Sem 2,12,BCO7000,Business Analytics,Sem 1,12.0,,,,
93251,GKrAo,Alberto,Rivera,26,Male,Thailand,Marketing Strategy and Consumer Behavior,BCO7002,Experience Management,Sem 4,12,,,,,,,,
77962,Ybdj5,Isabela,Flores,20,Female,Myanmar,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
21967,tipji,Alberto,Gonzalez,21,Male,Singapore,Digital Media and Content Creation,BCO7002,Experience Management,Sem 4,12,,,,,,,,
13275,bDKpy,Angelica,Rivera,24,Female,Laos,Marketing Strategy and Consumer Behavior,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
20847,CCSEY,Rosa,Torres,19,Female,Myanmar,Financial and Managerial Accounting,BCO7005,Data Security and Governance,Sem 2,12,,,,,,,,
68553,xr8jj,Jessica,Reyes,25,Female,Brunei,Digital Media and Content Creation,BEO6600,Business Economics,Sem 2,12,,,,,,,,
84109,YSdw1,Miguel,Cruz,30,Male,Indonesia,General Business and Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
02057,kGLZ5,Ismael,Garcia,28,Male,Laos,Data-Driven Decision Making and Analytics,WOM1000,Women in STEM,Sem 1,12,,,,,,,,
16203,AZrRw,Sofia,Gonzalez,35,Female,Laos,Leadership and Strategic Management,BEO6000,Data Analysis for Business,Sem 3,12,BCO7004,Business Data Mining and Warehousing,Sem 4,12.0,,,,
44525,b1fiy,Sofia,Garcia,33,Female,Cambodia,Operations and Supply Chain Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
98798,XGl97,Ricardo,Rivera,18,Male,Vietnam,Financial and Managerial Accounting,BCO7005,Data Security and Governance,Sem 2,12,,,,,,,,
10430,hzcTf,Antonio,Morales,24,Male,Vietnam,Leadership and Strategic Management,BCO6008,Predictive Analytics,Sem 2,12,,,,,,,,
48748,ZkF8j,Jessica,Reyes,35,Female,Indonesia,Operations and Supply Chain Management,BCO7005,Data Security and Governance,Sem 2,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
79682,dnZeb,Angelica,Reyes,19,Female,Laos,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BEO6000,Data Analysis for Business,Sem 3,12.0
90479,FmYLg,Isabela,Fernandez,30,Female,Myanmar,Data-Driven Decision Making and Analytics,BEO6600,Business Economics,Sem 2,12,,,,,,,,
62052,TPeOU,Ricardo,Cruz,25,Male,Malaysia,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,Sem 4,12,,,,,,,,
89801,ccCwW,Carmen,Cruz,28,Female,Philippines,Leadership and Strategic Management,BEO6600,Business Economics,Sem 2,12,,,,,,,,
30843,FNmQy,Jose,Garcia,25,Male,Thailand,Digital Media and Content Creation,BCO7004,Business Data Mining and Warehousing,Sem 4,12,BCO7005,Data Security and Governance,Sem 2,12.0,,,,
20073,fb7wq,Sofia,Santos,22,Female,Thailand,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
42899,duiwW,Antonio,Martinez,19,Male,Laos,Leadership and Strategic Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
86136,inbKS,Antonio,Fernandez,20,Male,Thailand,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
87185,Fgz8U,Alicia,Santos,31,Female,Brunei,Information Technology and Systems,BCO7006,Coding for Business Analytics,Sem 1,12,,,,,,,,
56871,a7Xbo,Antonio,Gonzalez,33,Male,Vietnam,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7004,Business Data Mining and Warehousing,Sem 4,12.0
85572,w13e8,Jessica,Gonzalez,26,Female,Vietnam,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7007,Machine Learning,Sem 2,12.0
56042,loiz5,Fernando,Santos,19,Male,Indonesia,Operations and Supply Chain Management,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
86568,KibUI,Ismael,Martinez,21,Male,Myanmar,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
02319,EVzU4,Ismael,Rivera,25,Male,Indonesia,Information Technology and Systems,BAO6504,Accounting for Management,Sem 1,12,BEO6000,Data Analysis for Business,Sem 3,12.0,,,,
20859,v1yla,Carlos,Santos,21,Male,Myanmar,Digital Media and Content Creation,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO6008,Predictive Analytics,Sem 2,12.0
12170,HeP9b,Rosa,Ramos,31,Female,Thailand,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7005,Data Security and Governance,Sem 2,12.0
77872,OzOMY,Veronica,Morales,27,Female,Singapore,General Business and Management,BCO7000,Business Analytics,Sem 1,12,,,,,,,,
29744,JAroG,Juan,Rivera,19,Male,Malaysia,Digital Media and Content Creation,BCO7007,Machine Learning,Sem 2,12,,,,,,,,
59283,FufXC,Carlos,Rivera,18,Male,Myanmar,Data-Driven Decision Making and Analytics,BCO7005,Data Security and Governance,Sem 2,12,,,,,,,,
62342,b2FH4,Luisa,Santos,22,Female,Vietnam,General Business and Management,BEO6000,Data Analysis for Business,Sem 3,12,,,,,,,,
15143,Z1N5N,Alberto,Cruz,24,Male,Malaysia,Data-Driven Decision Making and Analytics,BCO6008,Predictive Analytics,Sem 2,12,,,,,,,,
49809,N5mE0,Alicia,Garcia,18,Female,Myanmar,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
98803,jgbh7,Ismael,Ramos,22,Male,Thailand,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BCO7002,Experience Management,Sem 4,12.0
49907,aOYci,Ricardo,Reyes,32,Male,Vietnam,Financial and Managerial Accounting,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
88573,tW3NF,Ricardo,Flores,35,Male,Myanmar,Leadership and Strategic Management,BCO7007,Machine Learning,Sem 2,12,BCO6008,Predictive Analytics,Sem 2,12.0,,,,
46052,mGwzP,Sofia,Reyes,19,Female,Indonesia,Data-Driven Decision Making and Analytics,BCO7005,Data Security and Governance,Sem 2,12,,,,,,,,
73654,6g8ix,Miguel,Garcia,24,Male,Singapore,General Business and Management,BCO7004,Business Data Mining and Warehousing,Sem 4,12,BCO7002,Experience Management,Sem 4,12.0,,,,
40932,79q3V,Roberto,Morales,29,Male,Myanmar,Information Technology and Systems,BCO7000,Business Analytics,Sem 1,12,BCO7006,Coding for Business Analytics,Sem 1,12.0,BAO6504,Accounting for Management,Sem 1,12.0
89829,OXAd3,Angelica,Gonzalez,30,Female,Singapore,General Business and Management,BCO7007,Machine Learning,Sem 2,12,,,,,,,,
25521,u1O1v,Rosa,Rivera,33,Female,Singapore,Information Technology and Systems,BCO7002,Experience Management,Sem 4,12,,,,,,,,
