st_id,first_name,last_name,age,gender,nationality,completed_units_1,completed_units_1_sem,completed_units_2,completed_units_2_sem,completed_units_3,completed_units_3_sem,interest
95173,Ricardo,Morales,26,Male,Cambodia,BEO6000,3,BCO7005,2.0,,,Leadership and Strategic Management
39080,Sofia,Flores,22,Female,Laos,"	
WOM1000",1,BEO6000,3.0,BCO7007,2.0,Leadership and Strategic Management
70827,Jessica,Garcia,26,Female,Vietnam,BCO7007,2,BEO6000,3.0,,,Data-Driven Decision Making and Analytics
77554,Fernando,Gonzalez,27,Male,Philippines,BCO7002,4,BEO6000,3.0,,,Financial and Managerial Accounting
40414,Veronica,Santos,19,Female,Thailand,BCO7000,4,BCO7006,4.0,BCO7002,4.0,Financial and Managerial Accounting
15282,Rosa,Santos,35,Female,Malaysia,BCO7004,4,,,,,Financial and Managerial Accounting
91402,Sofia,Martinez,35,Female,Indonesia,BEO6000,3,,,,,Leadership and Strategic Management
46870,Jessica,Flores,33,Female,Myanmar,BCO7005,2,BEO6000,3.0,,,General Business and Management
40819,Ricardo,Rivera,35,Male,Indonesia,BEO6000,3,BCO7004,4.0,BEO6600,2.0,Leadership and Strategic Management
78603,Angelica,Garcia,25,Female,Brunei,BEO6000,3,,,,,Marketing Strategy and Consumer Behavior
22697,Fernando,Fernandez,29,Male,Thailand,BEO6600,2,BCO7002,4.0,BCO7000,1.0,Leadership and Strategic Management
20362,Roberto,Martinez,28,Male,Vietnam,BCO7000,4,BCO7006,1.0,BEO6000,3.0,Data-Driven Decision Making and Analytics
88516,Maria,Cruz,34,Female,Singapore,BCO7004,4,BCO7000,1.0,,,Information Technology and Systems
48296,Roberto,Flores,28,Male,Indonesia,BCO7004,4,BCO7007,2.0,BEO6000,3.0,Digital Media and Content Creation
91238,Jessica,Reyes,31,Female,Philippines,BEO6000,3,BCO7003,1.0,,,General Business and Management
04309,Jessica,Morales,28,Female,Indonesia,BCO7005,2,BCO7000,1.0,BCO7002,4.0,Leadership and Strategic Management
11027,Miguel,Martinez,25,Male,Brunei,BEO6000,3,BCO7005,2.0,,,General Business and Management
17437,Carmen,Garcia,23,Female,Myanmar,BCO7000,1,BCO7006,4.0,BCO7003,1.0,Financial and Managerial Accounting
79436,Roberto,Gonzalez,34,Male,Vietnam,BCO7004,4,BEO6000,3.0,,,Operations and Supply Chain Management
35122,Carlos,Garcia,20,Male,Laos,BCO7000,1,BCO7006,1.0,,,Operations and Supply Chain Management
11735,Veronica,Santos,30,Female,Thailand,BCO7000,1,BCO7007,2.0,,,Operations and Supply Chain Management
10375,Alberto,Garcia,22,Male,Laos,BAO6504,1,BCO7002,4.0,BCO6008,2.0,Digital Media and Content Creation
09677,Rosa,Ramos,27,Female,Cambodia,BCO7000,1,BCO7006,1.0,,,Operations and Supply Chain Management
35596,Jose,Rivera,20,Male,Cambodia,BCO7000,1,BEO6000,3.0,BEO6600,2.0,Marketing Strategy and Consumer Behavior
70564,Ricardo,Fernandez,31,Male,Thailand,BCO7000,2,BCO7006,1.0,BCO7005,2.0,General Business and Management
12384,Miguel,Cruz,27,Male,Malaysia,BCO7000,4,BCO7006,1.0,BCO7007,2.0,Financial and Managerial Accounting
05462,Jose,Fernandez,25,Male,Vietnam,BEO6600,2,,,,,Digital Media and Content Creation
74101,Miguel,Gonzalez,33,Male,Cambodia,BEO6600,2,,,,,Operations and Supply Chain Management
85530,Ricardo,Flores,31,Male,Vietnam,BCO7000,2,BCO7006,2.0,BCO7002,4.0,Operations and Supply Chain Management
59722,Carmen,Torres,29,Female,Brunei,BEO6000,3,,,,,General Business and Management
56779,Isabela,Gonzalez,28,Female,Philippines,BEO6000,3,BCO6008,2.0,,,Information Technology and Systems
86757,Jessica,Ramos,21,Female,Vietnam,BCO7000,1,BCO7004,4.0,BCO6008,2.0,Operations and Supply Chain Management
46429,Jessica,Martinez,28,Female,Singapore,BEO6000,3,BCO7005,2.0,"	
WOM1000",1.0,Financial and Managerial Accounting
31841,Jose,Garcia,18,Male,Myanmar,BCO7006,1,BEO6000,3.0,,,Financial and Managerial Accounting
52230,Fernando,Fernandez,25,Male,Brunei,BCO7007,2,BAO6504,1.0,BCO7002,4.0,Data-Driven Decision Making and Analytics
36234,Roberto,Torres,33,Male,Philippines,BCO7002,4,BEO6000,3.0,,,Marketing Strategy and Consumer Behavior
92152,Roberto,Morales,18,Male,Malaysia,BCO7000,1,BCO7006,1.0,"	
WOM1000",1.0,Financial and Managerial Accounting
74572,Luisa,Santos,21,Female,Philippines,BEO6600,2,,,,,Leadership and Strategic Management
14757,Alicia,Reyes,20,Female,Thailand,BCO7000,4,BCO7006,4.0,BCO7004,4.0,Information Technology and Systems
71212,Roberto,Ramos,31,Male,Vietnam,BCO7004,4,BCO7003,1.0,,,Leadership and Strategic Management
96863,Ricardo,Fernandez,32,Male,Myanmar,BCO7002,4,BCO7000,1.0,BEO6000,3.0,Information Technology and Systems
66054,Ismael,Garcia,28,Male,Brunei,BEO6000,3,,,,,General Business and Management
71814,Luisa,Gonzalez,30,Female,Brunei,BCO7003,1,,,,,Information Technology and Systems
49544,Roberto,Cruz,34,Male,Myanmar,BCO7002,4,,,,,Leadership and Strategic Management
87088,Roberto,Fernandez,26,Male,Vietnam,BCO7004,4,BEO6000,3.0,,,Digital Media and Content Creation
65980,Fernando,Flores,32,Male,Philippines,BCO7005,2,BEO6000,3.0,,,Operations and Supply Chain Management
82728,Rosa,Garcia,35,Female,Indonesia,BCO7006,1,BCO7004,4.0,BEO6000,3.0,Digital Media and Content Creation
58028,Isabela,Fernandez,19,Female,Laos,BEO6000,3,"	
WOM1000",1.0,,,General Business and Management
16320,Ismael,Morales,23,Male,Laos,BCO7000,3,BCO7006,1.0,BCO7002,4.0,Information Technology and Systems
49851,Luisa,Flores,26,Female,Philippines,BCO7002,4,,,,,General Business and Management
18124,Jessica,Fernandez,21,Female,Thailand,BEO6000,3,BCO7004,4.0,BAO6504,1.0,Digital Media and Content Creation
10143,Carmen,Garcia,35,Female,Brunei,"	
WOM1000",1,BEO6000,3.0,,,Information Technology and Systems
57388,Alberto,Fernandez,35,Male,Singapore,BCO7007,2,BCO7000,1.0,,,Financial and Managerial Accounting
44865,Isabela,Reyes,35,Female,Laos,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Information Technology and Systems
52574,Carlos,Flores,18,Male,Singapore,BAO6504,1,BCO6008,2.0,BCO7004,4.0,Information Technology and Systems
85109,Angelica,Santos,34,Female,Cambodia,BCO7003,1,BEO6600,2.0,,,Data-Driven Decision Making and Analytics
79730,Jessica,Flores,31,Female,Malaysia,"	
WOM1000",1,BEO6000,3.0,,,Financial and Managerial Accounting
45284,Sofia,Santos,26,Female,Vietnam,BEO6000,3,,,,,Financial and Managerial Accounting
19889,Alberto,Garcia,19,Male,Laos,BCO7004,4,BCO7000,1.0,,,Digital Media and Content Creation
88137,Alicia,Garcia,23,Female,Thailand,"	
WOM1000",1,,,,,Financial and Managerial Accounting
46992,Alberto,Fernandez,28,Male,Cambodia,BCO7004,4,,,,,Information Technology and Systems
05134,Jose,Reyes,21,Male,Malaysia,BEO6000,3,BCO7004,4.0,BCO6008,2.0,Operations and Supply Chain Management
45623,Alicia,Ramos,28,Female,Laos,BEO6000,3,BEO6600,2.0,,,Data-Driven Decision Making and Analytics
50345,Juan,Reyes,33,Male,Cambodia,BEO6000,3,BCO7004,4.0,,,General Business and Management
53669,Ismael,Torres,23,Male,Malaysia,BCO7000,1,BCO7006,1.0,"	
WOM1000",1.0,Operations and Supply Chain Management
78630,Maria,Reyes,33,Female,Thailand,BCO7000,2,BCO7006,1.0,BAO6504,1.0,General Business and Management
75870,Carmen,Gonzalez,19,Female,Vietnam,BEO6000,3,BCO7000,1.0,BCO7007,2.0,Operations and Supply Chain Management
19522,Jose,Gonzalez,18,Male,Malaysia,BCO7003,1,BEO6000,3.0,BCO7005,2.0,Leadership and Strategic Management
25171,Ismael,Flores,23,Male,Cambodia,BCO6008,2,BAO6504,1.0,BCO7002,4.0,Information Technology and Systems
54479,Jose,Reyes,32,Male,Singapore,BEO6000,3,BCO7005,2.0,,,General Business and Management
63540,Ricardo,Gonzalez,29,Male,Indonesia,BCO7004,4,,,,,Data-Driven Decision Making and Analytics
36499,Jose,Garcia,24,Male,Cambodia,BCO7004,4,BCO7005,2.0,,,Financial and Managerial Accounting
26163,Jose,Garcia,23,Male,Cambodia,BCO7002,4,BCO7000,1.0,BEO6000,3.0,Digital Media and Content Creation
26005,Angelica,Garcia,29,Female,Malaysia,BCO7005,2,BCO7002,4.0,,,Information Technology and Systems
33461,Antonio,Santos,23,Male,Malaysia,BCO7000,1,BCO7006,1.0,BAO6504,1.0,Marketing Strategy and Consumer Behavior
06840,Luisa,Garcia,30,Female,Laos,BCO7002,4,BEO6000,3.0,BEO6600,2.0,Digital Media and Content Creation
47572,Jessica,Rivera,22,Female,Laos,BEO6000,3,BCO7007,2.0,,,Digital Media and Content Creation
17826,Fernando,Torres,31,Male,Philippines,BEO6000,3,BCO6008,2.0,BCO7002,4.0,Digital Media and Content Creation
14318,Isabela,Santos,20,Female,Singapore,BCO7000,1,BCO7006,2.0,BAO6504,1.0,Operations and Supply Chain Management
56837,Alicia,Flores,30,Female,Singapore,BCO6008,2,,,,,Operations and Supply Chain Management
00547,Fernando,Martinez,27,Male,Myanmar,BCO7000,3,BCO7006,4.0,BEO6600,2.0,Financial and Managerial Accounting
99244,Ismael,Torres,34,Male,Myanmar,BAO6504,1,BEO6000,3.0,,,General Business and Management
96803,Miguel,Fernandez,30,Male,Indonesia,BCO6008,2,BEO6000,3.0,,,Leadership and Strategic Management
44077,Roberto,Reyes,27,Male,Cambodia,BEO6000,3,"	
WOM1000",1.0,BEO6600,2.0,Marketing Strategy and Consumer Behavior
93544,Alberto,Martinez,25,Male,Vietnam,BCO7002,4,,,,,Leadership and Strategic Management
81639,Ismael,Flores,34,Male,Philippines,BEO6000,3,,,,,Leadership and Strategic Management
24780,Isabela,Reyes,20,Female,Malaysia,BEO6000,3,BEO6600,2.0,BCO7002,4.0,Leadership and Strategic Management
67462,Alicia,Martinez,34,Female,Laos,BCO7007,2,"	
WOM1000",1.0,,,Leadership and Strategic Management
04844,Fernando,Flores,27,Male,Cambodia,BCO7004,4,BCO7005,2.0,,,Information Technology and Systems
23558,Alicia,Garcia,24,Female,Laos,BEO6000,3,,,,,Marketing Strategy and Consumer Behavior
54148,Miguel,Ramos,35,Male,Vietnam,BCO7007,2,BCO7002,4.0,BAO6504,1.0,Financial and Managerial Accounting
99594,Luisa,Gonzalez,25,Female,Vietnam,BAO6504,1,BEO6000,3.0,,,General Business and Management
82923,Alicia,Morales,31,Female,Thailand,BCO7000,1,BCO7006,1.0,BCO7002,4.0,Data-Driven Decision Making and Analytics
40926,Angelica,Cruz,29,Female,Indonesia,BCO7000,3,BCO7006,4.0,BEO6000,3.0,Leadership and Strategic Management
95885,Jose,Garcia,22,Male,Philippines,BEO6000,3,BCO7000,1.0,,,Digital Media and Content Creation
44601,Carlos,Santos,27,Male,Cambodia,BAO6504,1,,,,,Leadership and Strategic Management
31187,Maria,Morales,20,Female,Myanmar,BCO7006,1,,,,,Digital Media and Content Creation
87170,Sofia,Garcia,27,Female,Myanmar,BCO7000,1,BCO7006,1.0,BAO6504,1.0,Leadership and Strategic Management
93619,Alicia,Reyes,24,Female,Thailand,BCO7000,1,BCO7006,1.0,BEO6000,3.0,Information Technology and Systems
36481,Juan,Torres,32,Male,Thailand,BCO7007,2,BCO7003,1.0,BEO6000,3.0,General Business and Management
88818,Carlos,Cruz,18,Male,Philippines,BCO7000,1,BCO7002,4.0,BCO7007,2.0,Operations and Supply Chain Management
07611,Carlos,Ramos,34,Male,Myanmar,BCO7005,2,,,,,Digital Media and Content Creation
21980,Fernando,Rivera,30,Male,Malaysia,BCO7002,4,BCO7005,2.0,BEO6000,3.0,Financial and Managerial Accounting
69949,Maria,Reyes,22,Female,Indonesia,BCO7002,4,,,,,Information Technology and Systems
69135,Jose,Flores,25,Male,Myanmar,"	
WOM1000",1,,,,,Information Technology and Systems
42313,Luisa,Fernandez,30,Female,Singapore,BAO6504,1,BCO7007,2.0,BCO7004,4.0,Operations and Supply Chain Management
69300,Carlos,Fernandez,33,Male,Laos,BCO7002,4,,,,,Information Technology and Systems
39669,Jessica,Reyes,20,Female,Singapore,BCO7000,1,,,,,Leadership and Strategic Management
84681,Ricardo,Torres,35,Male,Singapore,BEO6000,3,BCO6008,2.0,,,Information Technology and Systems
54872,Alberto,Gonzalez,23,Male,Malaysia,BAO6504,1,BEO6000,3.0,BEO6600,2.0,General Business and Management
82688,Roberto,Gonzalez,33,Male,Indonesia,"	
WOM1000",1,BEO6000,3.0,BCO7007,2.0,Operations and Supply Chain Management
29819,Roberto,Rivera,32,Male,Myanmar,BCO7004,4,,,,,Leadership and Strategic Management
90591,Alicia,Torres,32,Female,Thailand,BEO6000,3,BCO7005,2.0,,,Leadership and Strategic Management
67772,Carmen,Reyes,22,Female,Brunei,BCO7002,4,BEO6000,3.0,,,Marketing Strategy and Consumer Behavior
41887,Roberto,Morales,23,Male,Indonesia,"	
WOM1000",1,BCO7002,4.0,BEO6000,3.0,Financial and Managerial Accounting
10659,Roberto,Fernandez,28,Male,Vietnam,BEO6000,3,,,,,Leadership and Strategic Management
64699,Antonio,Morales,33,Male,Laos,BCO6008,2,,,,,Marketing Strategy and Consumer Behavior
19943,Jessica,Santos,26,Female,Brunei,BEO6600,2,,,,,Financial and Managerial Accounting
54453,Fernando,Flores,23,Male,Singapore,BEO6000,3,BCO7006,1.0,BCO7004,4.0,Digital Media and Content Creation
74843,Maria,Fernandez,19,Female,Malaysia,BCO7000,2,BCO7006,2.0,BCO7007,2.0,General Business and Management
45386,Roberto,Rivera,28,Male,Myanmar,BCO7000,1,BCO7006,1.0,BCO7003,1.0,General Business and Management
07322,Angelica,Fernandez,26,Female,Indonesia,BCO7000,4,BCO7006,4.0,BCO6008,2.0,Operations and Supply Chain Management
34581,Juan,Morales,21,Male,Malaysia,BCO7002,4,,,,,Leadership and Strategic Management
34523,Juan,Torres,31,Male,Indonesia,BCO7002,4,BCO7000,1.0,,,Leadership and Strategic Management
12480,Sofia,Santos,18,Female,Thailand,BCO7000,1,BCO7006,3.0,BEO6000,3.0,Marketing Strategy and Consumer Behavior
50403,Antonio,Fernandez,29,Male,Thailand,BAO6504,1,BEO6000,3.0,BCO7002,4.0,Financial and Managerial Accounting
49759,Roberto,Martinez,26,Male,Myanmar,BCO7000,1,BCO7006,4.0,BEO6000,3.0,Operations and Supply Chain Management
20533,Carmen,Cruz,35,Female,Vietnam,BCO7004,4,BCO7003,1.0,BCO6008,2.0,Digital Media and Content Creation
58166,Angelica,Fernandez,20,Female,Cambodia,BEO6000,3,,,,,Marketing Strategy and Consumer Behavior
26832,Alicia,Rivera,32,Female,Indonesia,BAO6504,1,BCO7002,4.0,BCO7007,2.0,Operations and Supply Chain Management
04843,Jose,Gonzalez,31,Male,Cambodia,BCO7000,1,BCO7002,4.0,BCO6008,2.0,General Business and Management
35602,Rosa,Flores,35,Female,Myanmar,BCO7004,4,BEO6600,2.0,,,General Business and Management
11406,Sofia,Martinez,29,Female,Indonesia,BCO7000,1,BCO7004,4.0,,,Financial and Managerial Accounting
43592,Carmen,Gonzalez,30,Female,Vietnam,BCO7003,1,,,,,Financial and Managerial Accounting
01126,Angelica,Martinez,34,Female,Malaysia,BEO6000,3,BCO7002,4.0,,,Digital Media and Content Creation
07494,Jose,Reyes,35,Male,Myanmar,BCO7004,4,,,,,Digital Media and Content Creation
95821,Ricardo,Garcia,25,Male,Laos,BCO7000,4,BCO7006,4.0,BCO7002,4.0,Financial and Managerial Accounting
70086,Isabela,Martinez,29,Female,Vietnam,BCO7000,4,BCO7006,4.0,BEO6000,3.0,Information Technology and Systems
75976,Luisa,Santos,31,Female,Indonesia,BCO7000,1,BCO7006,4.0,BCO7004,4.0,Operations and Supply Chain Management
78164,Alberto,Torres,30,Male,Singapore,BCO7004,4,BCO7007,2.0,BCO7003,1.0,Operations and Supply Chain Management
45745,Ricardo,Reyes,19,Male,Brunei,BCO7002,4,BEO6600,2.0,,,General Business and Management
82457,Antonio,Reyes,27,Male,Brunei,BCO7007,2,BCO7004,4.0,BEO6000,3.0,Digital Media and Content Creation
20201,Jose,Reyes,31,Male,Malaysia,BCO6008,2,,,,,Leadership and Strategic Management
99328,Ismael,Cruz,27,Male,Cambodia,BEO6600,2,BAO6504,1.0,,,Digital Media and Content Creation
39158,Luisa,Flores,25,Female,Laos,BCO7006,1,BCO7005,2.0,,,Operations and Supply Chain Management
08821,Carmen,Torres,30,Female,Philippines,BEO6600,2,,,,,Marketing Strategy and Consumer Behavior
54144,Ricardo,Torres,20,Male,Cambodia,BCO7000,4,BCO7006,4.0,BEO6000,3.0,Digital Media and Content Creation
80570,Ricardo,Torres,22,Male,Cambodia,BCO7004,4,BCO6008,2.0,,,Financial and Managerial Accounting
13000,Juan,Torres,20,Male,Singapore,BCO7004,4,,,,,Marketing Strategy and Consumer Behavior
51831,Isabela,Rivera,29,Female,Philippines,BCO7002,4,BCO6008,2.0,BEO6000,3.0,Financial and Managerial Accounting
83773,Miguel,Flores,23,Male,Myanmar,BEO6000,3,,,,,Operations and Supply Chain Management
04598,Veronica,Santos,22,Female,Malaysia,"	
WOM1000",1,BCO7004,4.0,BEO6000,3.0,Information Technology and Systems
42247,Veronica,Torres,31,Female,Brunei,BCO7002,4,BAO6504,1.0,,,Digital Media and Content Creation
30143,Ismael,Torres,30,Male,Indonesia,BCO6008,2,,,,,Marketing Strategy and Consumer Behavior
93291,Sofia,Gonzalez,35,Female,Cambodia,BCO7004,4,,,,,Data-Driven Decision Making and Analytics
44793,Fernando,Fernandez,21,Male,Thailand,BEO6000,3,BCO7002,4.0,BEO6600,2.0,Data-Driven Decision Making and Analytics
21280,Antonio,Torres,28,Male,Malaysia,BEO6600,2,BCO7003,1.0,BCO7002,4.0,Financial and Managerial Accounting
07932,Sofia,Torres,31,Female,Singapore,BCO7004,4,BEO6000,3.0,,,Leadership and Strategic Management
47394,Jessica,Gonzalez,20,Female,Thailand,BCO7004,4,,,,,Digital Media and Content Creation
78642,Maria,Gonzalez,30,Female,Singapore,BCO7000,1,,,,,Financial and Managerial Accounting
70031,Alberto,Rivera,27,Male,Singapore,BCO7000,1,BEO6600,2.0,BEO6000,3.0,Digital Media and Content Creation
30088,Ricardo,Reyes,25,Male,Thailand,BCO7002,4,BCO7000,1.0,,,Digital Media and Content Creation
16515,Isabela,Reyes,31,Female,Vietnam,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Leadership and Strategic Management
83100,Fernando,Santos,23,Male,Singapore,BCO7000,2,BCO7006,2.0,BCO7007,2.0,Operations and Supply Chain Management
03621,Carmen,Santos,22,Female,Malaysia,BCO7000,4,BCO7006,4.0,BCO7004,4.0,Data-Driven Decision Making and Analytics
14088,Angelica,Martinez,31,Female,Malaysia,BCO7004,4,BEO6000,3.0,BAO6504,1.0,Data-Driven Decision Making and Analytics
85932,Juan,Gonzalez,28,Male,Cambodia,BEO6600,2,BEO6000,3.0,BCO7006,1.0,Operations and Supply Chain Management
80485,Antonio,Santos,28,Male,Cambodia,BEO6000,3,"	
WOM1000",1.0,,,Leadership and Strategic Management
45323,Carmen,Gonzalez,19,Female,Laos,BCO7004,4,,,,,Financial and Managerial Accounting
15982,Fernando,Torres,18,Male,Myanmar,BEO6000,3,BCO7006,1.0,,,Information Technology and Systems
80375,Jose,Fernandez,21,Male,Myanmar,BCO7000,1,,,,,Digital Media and Content Creation
39149,Miguel,Reyes,30,Male,Malaysia,BEO6600,2,BEO6000,3.0,,,Financial and Managerial Accounting
80068,Alicia,Garcia,28,Female,Thailand,BCO7007,2,,,,,Information Technology and Systems
43365,Sofia,Morales,24,Female,Laos,BCO7004,4,,,,,Digital Media and Content Creation
72652,Veronica,Martinez,29,Female,Philippines,BCO7000,2,BCO7006,1.0,BAO6504,1.0,Marketing Strategy and Consumer Behavior
92358,Veronica,Flores,26,Female,Singapore,BEO6000,3,,,,,Marketing Strategy and Consumer Behavior
74008,Alberto,Garcia,35,Male,Cambodia,BCO7000,4,BCO7006,2.0,BCO7003,1.0,Operations and Supply Chain Management
17859,Carlos,Torres,30,Male,Cambodia,BCO7005,2,BAO6504,1.0,,,Digital Media and Content Creation
49132,Maria,Torres,24,Female,Laos,BEO6000,3,,,,,Financial and Managerial Accounting
43222,Veronica,Flores,34,Female,Cambodia,BCO7002,4,,,,,Operations and Supply Chain Management
45393,Miguel,Gonzalez,32,Male,Cambodia,BCO7003,1,BEO6000,3.0,BCO7005,2.0,Marketing Strategy and Consumer Behavior
86367,Rosa,Flores,21,Female,Brunei,BEO6000,3,,,,,Operations and Supply Chain Management
60383,Fernando,Martinez,20,Male,Brunei,BCO7000,3,BCO7006,1.0,BAO6504,1.0,Operations and Supply Chain Management
59805,Miguel,Morales,35,Male,Philippines,BEO6000,3,BCO7002,4.0,BAO6504,1.0,Leadership and Strategic Management
25038,Maria,Ramos,22,Female,Singapore,BCO7004,4,"	
WOM1000",1.0,BCO7005,2.0,Leadership and Strategic Management
07049,Alberto,Cruz,26,Male,Thailand,BCO7004,4,BEO6000,3.0,,,Operations and Supply Chain Management
20887,Fernando,Gonzalez,29,Male,Singapore,"	
WOM1000",1,BEO6000,3.0,BCO7002,4.0,Marketing Strategy and Consumer Behavior
96243,Juan,Torres,28,Male,Indonesia,BEO6000,3,BAO6504,1.0,,,Operations and Supply Chain Management
56542,Ismael,Martinez,18,Male,Laos,BEO6000,3,BCO7005,2.0,,,Data-Driven Decision Making and Analytics
04742,Carlos,Garcia,20,Male,Myanmar,BEO6000,3,BCO7003,1.0,BCO7004,4.0,Leadership and Strategic Management
13194,Veronica,Gonzalez,24,Female,Vietnam,BCO7005,2,BEO6000,3.0,BCO7002,4.0,General Business and Management
52353,Roberto,Martinez,21,Male,Vietnam,BEO6000,3,BCO7005,2.0,BCO7002,4.0,Digital Media and Content Creation
26555,Isabela,Fernandez,23,Female,Indonesia,BCO7004,4,,,,,Operations and Supply Chain Management
35379,Fernando,Rivera,33,Male,Laos,BEO6600,2,BEO6000,3.0,BCO7004,4.0,Digital Media and Content Creation
19758,Sofia,Gonzalez,27,Female,Laos,BAO6504,1,BCO6008,2.0,BCO7002,4.0,Financial and Managerial Accounting
18736,Antonio,Garcia,34,Male,Philippines,BCO7000,1,,,,,Financial and Managerial Accounting
81321,Roberto,Garcia,30,Male,Myanmar,BEO6000,3,,,,,General Business and Management
36498,Fernando,Rivera,26,Male,Philippines,BEO6000,3,BCO7004,4.0,,,Leadership and Strategic Management
10420,Maria,Ramos,19,Female,Vietnam,BEO6000,3,BCO7007,2.0,BCO7004,4.0,Marketing Strategy and Consumer Behavior
86401,Maria,Torres,34,Female,Singapore,BCO7000,3,BCO7006,3.0,BEO6000,3.0,Data-Driven Decision Making and Analytics
09725,Luisa,Santos,27,Female,Vietnam,BCO7002,4,,,,,Digital Media and Content Creation
33046,Roberto,Cruz,26,Male,Brunei,BEO6600,2,BCO7000,1.0,BEO6000,3.0,Marketing Strategy and Consumer Behavior
91071,Rosa,Garcia,31,Female,Thailand,BCO7000,2,BCO7006,4.0,BCO7004,4.0,Data-Driven Decision Making and Analytics
62517,Miguel,Reyes,24,Male,Singapore,BAO6504,1,,,,,Financial and Managerial Accounting
01977,Roberto,Reyes,18,Male,Thailand,BCO7002,4,BEO6000,3.0,,,Marketing Strategy and Consumer Behavior
79541,Jessica,Santos,35,Female,Philippines,BCO6008,2,BCO7004,4.0,,,Data-Driven Decision Making and Analytics
