st_id,password,first_name,last_name,age,gender,nationality,interest_1,interest_2,CompletedUnit1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits,CompletedUnit4_Code,CompletedUnit4_Title,CompletedUnit4_Semester,CompletedUnit4_Credits,CompletedUnit5_Code,CompletedUnit5_Title,CompletedUnit5_Semester,CompletedUnit5_Credits,CompletedUnit6_Code,CompletedUnit6_Title,CompletedUnit6_Semester,CompletedUnit6_Credits
88960,0Z3xi,Luisa,Reyes,20,Female,Laos,Economic Theory,Machine Learning,BEO6000,Data Analysis for Business,3,12,BCO7003,Analytics Project M anagement,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
83073,5a4f2,Veronica,Garcia,31,Female,Thailand,Quantitative Analysis,Financial Analysis,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
00081,T2Yl2,Antonio,Flores,21,Male,Thailand,Financial Analysis,Quantitative Analysis,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
37141,OL0a8,Alberto,Flores,24,Male,Indonesia,Business Strategy,Business Intelligence,BCO7007,Machine Learning,2,12,,,,,,,,,,,,,,,,,,,,
01636,nkGDX,Ricardo,Flores,19,Male,Cambodia,Business Strategy,Customer Experience,BCO7005,Data Security and Governance,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,,,,,
78824,UYMEQ,Carmen,Gonzalez,25,Female,Myanmar,Leadership and Empowerment,Quantitative Analysis,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
42031,ectkY,Alberto,Reyes,27,Male,Myanmar,Financial Analysis,Data Science,BCO7004,Business Data Mining and Warehousing,4,12,BEO6600,Business Economics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
33885,XFnfX,Veronica,Torres,26,Female,Indonesia,Quantitative Analysis,Programming (Python),BCO6008,Predictive Analytics,2,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
35565,AbD1L,Carlos,Ramos,33,Male,Brunei,Business Strategy,Programming (Python),BEO6000,Data Analysis for Business,3,12,BCO7003,Analytics Project M anagement,1,12.0,,,,,,,,,,,,,,,,
42368,l83Ri,Luisa,Cruz,29,Female,Indonesia,Market Analysis,General Business Interest,WOM1000,Women in STEM,1,12,,,,,,,,,,,,,,,,,,,,
66775,2R6oo,Juan,Ramos,21,Male,Indonesia,Business Strategy,Business Intelligence,BEO6000,Data Analysis for Business,3,12,BCO7005,Data Security and Governance,2,12.0,,,,,,,,,,,,,,,,
09605,Od6gZ,Miguel,Cruz,25,Male,Singapore,Business Intelligence,Quantitative Analysis,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,BCO7003,Analytics Project M anagement,1,12.0,BEO6600,Business Economics,2,12.0,,,,
11891,eZJ7j,Juan,Martinez,23,Male,Vietnam,General Business Interest,Programming (Python),BEO6000,Data Analysis for Business,3,12,BCO7000,Business Analytics,1,12.0,BCO7007,Machine Learning,2,12.0,,,,,,,,,,,,
33515,U3Svf,Fernando,Reyes,33,Male,Vietnam,Data Science,Business Strategy,BCO7007,Machine Learning,2,12,,,,,,,,,,,,,,,,,,,,
59645,YMmnV,Carlos,Reyes,27,Male,Brunei,Economic Theory,Data Science,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,
75734,r1dXE,Angelica,Torres,24,Female,Malaysia,Programming (Python),Economic Theory,BEO6000,Data Analysis for Business,3,12,BCO6008,Predictive Analytics,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
64856,eGYCi,Ismael,Martinez,35,Male,Cambodia,Customer Experience,Economic Theory,BCO7004,Business Data Mining and Warehousing,4,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
09957,g4RXR,Jessica,Martinez,33,Female,Laos,Business Intelligence,Programming (Python),BAO6504,Accounting for Management,1,12,BEO6600,Business Economics,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
56416,4KhiR,Isabela,Morales,31,Female,Thailand,Data Science,Customer Experience,BAO6504,Accounting for Management,1,12,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
74393,b9zxK,Antonio,Santos,19,Male,Laos,General Business Interest,Economic Theory,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
39695,dFpki,Jessica,Martinez,28,Female,Vietnam,Business Strategy,Financial Analysis,WOM1000,Women in STEM,1,12,BCO6008,Predictive Analytics,2,12.0,,,,,,,,,,,,,,,,
61148,awKSd,Antonio,Reyes,27,Male,Cambodia,Business Intelligence,Data Science,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
05126,R6dNX,Alicia,Cruz,24,Female,Laos,Customer Experience,Machine Learning,BAO6504,Accounting for Management,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6600,Business Economics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
34203,nThj2,Miguel,Torres,26,Male,Thailand,Data Science,Financial Analysis,BCO7005,Data Security and Governance,2,12,,,,,,,,,,,,,,,,,,,,
03624,qUTk3,Fernando,Garcia,31,Male,Thailand,General Business Interest,Economic Theory,BAO6504,Accounting for Management,1,12,BCO7005,Data Security and Governance,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
82104,GXgkp,Carlos,Cruz,34,Male,Singapore,Financial Analysis,Programming (Python),BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,3,12.0,BCO6008,Predictive Analytics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7003,Analytics Project M anagement,1,12.0,,,,
37126,Ea8tc,Juan,Santos,35,Male,Thailand,Market Analysis,Financial Analysis,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,BCO6008,Predictive Analytics,2,12.0,BCO7003,Analytics Project M anagement,1,12.0,,,,
68406,bNSvz,Isabela,Fernandez,31,Female,Indonesia,Data Science,Machine Learning,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
93705,Ekscd,Angelica,Reyes,21,Female,Malaysia,Machine Learning,Economic Theory,BEO6000,Data Analysis for Business,3,12,BEO6600,Business Economics,2,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
00528,CGUm0,Fernando,Reyes,23,Male,Thailand,Economic Theory,Business Strategy,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
85021,senKL,Maria,Garcia,21,Female,Singapore,Data Science,Leadership and Empowerment,BEO6600,Business Economics,2,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
76606,zii6e,Maria,Morales,28,Female,Cambodia,Market Analysis,Business Strategy,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
78254,XPNr9,Ricardo,Flores,33,Male,Singapore,Quantitative Analysis,Business Strategy,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,
09817,3OBfv,Alberto,Ramos,34,Male,Laos,Business Intelligence,Quantitative Analysis,BCO7000,Business Analytics,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
77219,ktCI8,Rosa,Ramos,32,Female,Indonesia,Quantitative Analysis,Customer Experience,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
61970,5yt2g,Veronica,Fernandez,19,Female,Brunei,Leadership and Empowerment,General Business Interest,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,3,12.0,,,,
78015,dRyrn,Angelica,Rivera,20,Female,Philippines,General Business Interest,Market Analysis,BCO7003,Analytics Project M anagement,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7005,Data Security and Governance,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
41839,Ujqfv,Ricardo,Fernandez,24,Male,Myanmar,Market Analysis,Customer Experience,BCO7005,Data Security and Governance,2,12,,,,,,,,,,,,,,,,,,,,
74360,P7ukt,Rosa,Gonzalez,26,Female,Laos,Market Analysis,General Business Interest,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7003,Analytics Project M anagement,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,1.0,12.0
46102,KsJne,Juan,Reyes,34,Male,Malaysia,Programming (Python),Market Analysis,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
24360,Tf67x,Roberto,Santos,19,Male,Vietnam,Market Analysis,Data Science,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BAO6504,Accounting for Management,1,12.0,,,,,,,,,,,,
50260,vsq73,Roberto,Flores,35,Male,Cambodia,Programming (Python),Market Analysis,BCO7004,Business Data Mining and Warehousing,4,12,BEO6000,Data Analysis for Business,3,12.0,BCO7005,Data Security and Governance,2,12.0,,,,,,,,,,,,
96769,RIoaw,Fernando,Cruz,31,Male,Philippines,General Business Interest,Machine Learning,BCO7005,Data Security and Governance,2,12,BAO6504,Accounting for Management,1,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
38393,IvVQm,Maria,Fernandez,27,Female,Indonesia,Machine Learning,Data Science,BEO6000,Data Analysis for Business,3,12,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
23228,kp1sS,Rosa,Morales,20,Female,Cambodia,Quantitative Analysis,Business Strategy,BAO6504,Accounting for Management,1,12,BCO7002,Experience Management,4,12.0,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
48846,4xelo,Ismael,Martinez,22,Male,Malaysia,Customer Experience,Data Science,BCO7000,Business Analytics,1,12,,,,,,,,,,,,,,,,,,,,
05927,0zrIA,Alberto,Gonzalez,18,Male,Myanmar,Financial Analysis,Machine Learning,BCO7006,Coding for Business Analytics,1,12,BCO7007,Machine Learning,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
71581,PlKj1,Jessica,Rivera,24,Female,Singapore,Economic Theory,Machine Learning,BCO7006,Coding for Business Analytics,1,12,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,,,,,
84594,1mOEM,Ismael,Ramos,35,Male,Cambodia,Market Analysis,Customer Experience,BCO7003,Analytics Project M anagement,1,12,BCO7007,Machine Learning,2,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
36598,qEBz0,Sofia,Torres,22,Female,Brunei,Leadership and Empowerment,Financial Analysis,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,4,12.0,,,,
40976,26FCb,Antonio,Santos,21,Male,Indonesia,Programming (Python),Business Intelligence,BEO6000,Data Analysis for Business,3,12,BAO6504,Accounting for Management,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
60177,fFHTN,Veronica,Morales,33,Female,Laos,Financial Analysis,Market Analysis,BCO7007,Machine Learning,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
01051,OOwNc,Veronica,Morales,32,Female,Cambodia,Economic Theory,Market Analysis,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
94531,L44go,Carmen,Fernandez,30,Female,Indonesia,Customer Experience,Leadership and Empowerment,BCO7005,Data Security and Governance,2,12,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
31155,7rr3V,Ismael,Garcia,20,Male,Cambodia,General Business Interest,Machine Learning,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,1,12.0,BAO6504,Accounting for Management,1,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,
14574,9uVC4,Maria,Torres,29,Female,Indonesia,Data Science,Economic Theory,BEO6600,Business Economics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
34853,hFP92,Jessica,Garcia,33,Female,Myanmar,Financial Analysis,Data Science,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
63579,FGc6N,Alicia,Reyes,35,Female,Malaysia,Market Analysis,Data Science,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
44065,A2Sp6,Rosa,Garcia,19,Female,Laos,Economic Theory,Machine Learning,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
69470,TkTTM,Ismael,Fernandez,20,Male,Cambodia,Market Analysis,Machine Learning,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
37703,nG285,Fernando,Torres,29,Male,Myanmar,Business Strategy,Quantitative Analysis,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
64983,tVOKz,Juan,Ramos,24,Male,Brunei,Business Strategy,Business Intelligence,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
59113,MKerE,Rosa,Fernandez,28,Female,Laos,Quantitative Analysis,Machine Learning,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,BCO7003,Analytics Project M anagement,1,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
70536,gKYN8,Jessica,Rivera,32,Female,Indonesia,Economic Theory,Financial Analysis,BCO7006,Coding for Business Analytics,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
75317,Y4TEb,Roberto,Santos,35,Male,Vietnam,Quantitative Analysis,Market Analysis,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7007,Machine Learning,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,
52572,3CJRA,Miguel,Ramos,21,Male,Cambodia,Business Strategy,Programming (Python),BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
54031,dVCMN,Veronica,Reyes,34,Female,Myanmar,Customer Experience,Machine Learning,BCO7007,Machine Learning,2,12,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
14829,r9r8u,Carmen,Flores,29,Female,Singapore,Business Strategy,Programming (Python),BEO6000,Data Analysis for Business,3,12,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
02692,p96os,Alberto,Gonzalez,23,Male,Indonesia,Programming (Python),Customer Experience,BCO7004,Business Data Mining and Warehousing,4,12,BCO7005,Data Security and Governance,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
12548,irt17,Luisa,Cruz,33,Female,Thailand,Market Analysis,Customer Experience,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
14769,mmlVk,Antonio,Santos,18,Male,Malaysia,Market Analysis,Customer Experience,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,
99898,rXPum,Veronica,Morales,23,Female,Malaysia,Machine Learning,Business Intelligence,BAO6504,Accounting for Management,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
76056,dADV4,Antonio,Rivera,33,Male,Vietnam,Business Strategy,Quantitative Analysis,BCO7004,Business Data Mining and Warehousing,4,12,BEO6000,Data Analysis for Business,3,12.0,BAO6504,Accounting for Management,1,12.0,,,,,,,,,,,,
41321,woMVp,Ricardo,Flores,28,Male,Cambodia,Quantitative Analysis,Programming (Python),BEO6000,Data Analysis for Business,3,12,BAO6504,Accounting for Management,1,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
45507,Mpp7d,Ismael,Flores,32,Male,Laos,General Business Interest,Data Science,BAO6504,Accounting for Management,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
76042,gXW36,Roberto,Torres,18,Male,Vietnam,Business Intelligence,Quantitative Analysis,BCO7002,Experience Management,4,12,BCO7007,Machine Learning,2,12.0,,,,,,,,,,,,,,,,
05630,MIqHG,Alberto,Morales,34,Male,Myanmar,Customer Experience,Economic Theory,BEO6000,Data Analysis for Business,3,12,BCO7005,Data Security and Governance,2,12.0,BCO7000,Business Analytics,1,12.0,,,,,,,,,,,,
29441,JCS1y,Alicia,Rivera,25,Female,Malaysia,Leadership and Empowerment,Programming (Python),BCO6008,Predictive Analytics,2,12,BCO7003,Analytics Project M anagement,1,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
05189,oj2sZ,Rosa,Rivera,21,Female,Myanmar,Machine Learning,Programming (Python),BEO6600,Business Economics,2,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
37497,5gQ4K,Alicia,Cruz,30,Female,Philippines,Business Intelligence,Financial Analysis,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
59497,neh6j,Carlos,Santos,34,Male,Vietnam,Business Strategy,Programming (Python),WOM1000,Women in STEM,1,12,,,,,,,,,,,,,,,,,,,,
55037,aNzai,Rosa,Morales,18,Female,Myanmar,Data Science,Leadership and Empowerment,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,3,12.0,,,,
11661,2d0yh,Roberto,Garcia,29,Male,Thailand,Financial Analysis,Business Strategy,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,
23817,tKEKj,Rosa,Gonzalez,19,Female,Indonesia,Leadership and Empowerment,Business Strategy,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,
01325,sdnVI,Alberto,Morales,18,Male,Malaysia,Economic Theory,Market Analysis,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
63222,VMEqL,Isabela,Fernandez,24,Female,Malaysia,Programming (Python),Business Strategy,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
24666,L7itp,Carlos,Torres,29,Male,Indonesia,Business Strategy,Quantitative Analysis,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,
16950,sdmoO,Fernando,Santos,28,Male,Indonesia,Customer Experience,Programming (Python),BCO7006,Coding for Business Analytics,1,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
35160,wptiV,Antonio,Gonzalez,21,Male,Myanmar,Business Intelligence,Financial Analysis,BCO7007,Machine Learning,2,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
87371,iDPgt,Fernando,Gonzalez,18,Male,Cambodia,Machine Learning,Market Analysis,BCO7005,Data Security and Governance,2,12,,,,,,,,,,,,,,,,,,,,
78971,pEY4x,Carlos,Martinez,31,Male,Vietnam,General Business Interest,Machine Learning,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,,,,,,,,,,,,,,,,
18870,mbYVM,Veronica,Cruz,29,Female,Indonesia,Leadership and Empowerment,Programming (Python),BCO7004,Business Data Mining and Warehousing,4,12,BCO7006,Coding for Business Analytics,1,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
02078,b8PPw,Alicia,Gonzalez,32,Female,Malaysia,General Business Interest,Business Intelligence,BEO6000,Data Analysis for Business,3,12,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
47479,RVEw1,Sofia,Rivera,24,Female,Vietnam,Financial Analysis,Business Intelligence,BCO7003,Analytics Project M anagement,1,12,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,,,,,
71185,0DGP7,Jose,Ramos,25,Male,Laos,Quantitative Analysis,Business Intelligence,BEO6000,Data Analysis for Business,3,12,BCO7003,Analytics Project M anagement,1,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
23201,DGBQT,Juan,Ramos,20,Male,Singapore,Programming (Python),Market Analysis,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
22567,DuYMf,Veronica,Morales,33,Female,Malaysia,Financial Analysis,Business Intelligence,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
46762,BNbiC,Juan,Ramos,27,Male,Myanmar,Quantitative Analysis,Business Intelligence,BCO7006,Coding for Business Analytics,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
36872,k0r1w,Veronica,Santos,20,Female,Thailand,General Business Interest,Financial Analysis,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
52831,uSYVX,Maria,Rivera,29,Female,Laos,Machine Learning,Customer Experience,BCO7006,Coding for Business Analytics,1,12,BEO6600,Business Economics,2,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
83146,0zgmQ,Jessica,Flores,25,Female,Myanmar,Business Intelligence,Machine Learning,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
20236,GebVO,Jessica,Santos,21,Female,Indonesia,Customer Experience,Business Intelligence,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7002,Experience Management,4,12.0,BAO6504,Accounting for Management,1,12.0,BEO6600,Business Economics,2,12.0,WOM1000,Women in STEM,1.0,12.0
19989,gk3dO,Juan,Martinez,25,Male,Philippines,Economic Theory,General Business Interest,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,,,,,
