st_id,password,first_name,last_name,age,gender,nationality,interest,CompletedUnit1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits,CompletedUnit4_Code,CompletedUnit4_Title,CompletedUnit4_Semester,CompletedUnit4_Credits,CompletedUnit5_Code,CompletedUnit5_Title,CompletedUnit5_Semester,CompletedUnit5_Credits,CompletedUnit6_Code,CompletedUnit6_Title,CompletedUnit6_Semester,CompletedUnit6_Credits
79033,1nKwg,Alicia,Fernandez,24,Female,Indonesia,Data-Driven Decision Making and Analytics,BCO7003,Analytics Project M anagement,1,12,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
82056,Efitb,Luisa,Santos,32,Female,Singapore,General Business and Management,BCO7002,Experience Management,4,12,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
30856,uDd1o,Fernando,Morales,31,Male,Vietnam,Financial and Managerial Accounting,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
37543,EP5IY,Sofia,Rivera,34,Female,Malaysia,Operations and Supply Chain Management,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,2,12.0,BEO6600,Business Economics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,2,12.0,,,,
38495,hmCgR,Jose,Flores,22,Male,Philippines,General Business and Management,BCO6008,Predictive Analytics,2,12,BCO7000,Business Analytics,1,12.0,,,,,,,,,,,,,,,,
96008,mzC2Z,Alberto,Rivera,18,Male,Myanmar,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
95018,YWA8H,Carlos,Rivera,30,Male,Indonesia,Operations and Supply Chain Management,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,,,,,
85617,EoZ35,Roberto,Santos,30,Male,Malaysia,Information Technology and Systems,BCO7005,Data Security and Governance,2,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
22148,p9gNP,Rosa,Fernandez,24,Female,Myanmar,Data-Driven Decision Making and Analytics,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
28845,HrquX,Miguel,Reyes,33,Male,Thailand,Data-Driven Decision Making and Analytics,BCO7006,Coding for Business Analytics,1,12,BCO7005,Data Security and Governance,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
31721,sqdLO,Jessica,Torres,34,Female,Thailand,Operations and Supply Chain Management,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7005,Data Security and Governance,2,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,
90122,fbCpf,Juan,Ramos,28,Male,Cambodia,Leadership and Strategic Management,BAO6504,Accounting for Management,1,12,,,,,,,,,,,,,,,,,,,,
33881,e5g55,Angelica,Garcia,20,Female,Philippines,Information Technology and Systems,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
14386,zzdpq,Carmen,Gonzalez,31,Female,Malaysia,Digital Media and Content Creation,BCO7007,Machine Learning,2,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
13336,zyG00,Sofia,Ramos,25,Female,Thailand,Digital Media and Content Creation,BCO7002,Experience Management,4,12,BAO6504,Accounting for Management,1,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
23862,vfQKc,Ismael,Cruz,21,Male,Indonesia,Marketing Strategy and Consumer Behavior,BCO7003,Analytics Project M anagement,1,12,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,,,,,
48763,jISjx,Jose,Flores,29,Male,Myanmar,Marketing Strategy and Consumer Behavior,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
76418,0gIjZ,Jose,Flores,24,Male,Singapore,Operations and Supply Chain Management,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,,,,,,,,,,,,,,,,
48248,GZh2n,Angelica,Ramos,19,Female,Cambodia,General Business and Management,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
68341,czNhY,Carlos,Fernandez,33,Male,Philippines,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,4,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
51085,Ua6Y3,Ricardo,Reyes,30,Male,Malaysia,Information Technology and Systems,BCO7006,Coding for Business Analytics,1,12,,,,,,,,,,,,,,,,,,,,
10294,Uaj2p,Juan,Reyes,20,Male,Malaysia,Leadership and Strategic Management,BCO6008,Predictive Analytics,2,12,,,,,,,,,,,,,,,,,,,,
25951,KODTn,Jose,Morales,32,Male,Singapore,Operations and Supply Chain Management,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
88093,HQMOh,Luisa,Reyes,25,Female,Malaysia,Operations and Supply Chain Management,BEO6600,Business Economics,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
23016,ojauz,Angelica,Rivera,25,Female,Laos,Digital Media and Content Creation,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,3,12.0,BCO7005,Data Security and Governance,2,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,1,12.0,,,,
19269,DHMJW,Jose,Flores,23,Male,Thailand,Operations and Supply Chain Management,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
22917,TNDgj,Jessica,Flores,19,Female,Philippines,Marketing Strategy and Consumer Behavior,BEO6600,Business Economics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
81441,5RD0w,Carlos,Reyes,33,Male,Cambodia,Financial and Managerial Accounting,BCO7000,Business Analytics,1,12,,,,,,,,,,,,,,,,,,,,
36310,d5CLz,Roberto,Garcia,19,Male,Laos,Operations and Supply Chain Management,BCO7003,Analytics Project M anagement,1,12,,,,,,,,,,,,,,,,,,,,
25515,Ez5sv,Isabela,Gonzalez,18,Female,Indonesia,Marketing Strategy and Consumer Behavior,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
00650,cDKNq,Isabela,Rivera,19,Female,Vietnam,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,4,12,BEO6600,Business Economics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
27580,HPW53,Antonio,Morales,21,Male,Thailand,Operations and Supply Chain Management,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
81260,ZCCsM,Sofia,Reyes,28,Female,Indonesia,Operations and Supply Chain Management,BEO6000,Data Analysis for Business,3,12,BCO7003,Analytics Project M anagement,1,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
80546,39YI9,Fernando,Gonzalez,20,Male,Indonesia,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
14753,EwErf,Angelica,Morales,20,Female,Singapore,Financial and Managerial Accounting,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
74558,PFHcl,Roberto,Gonzalez,28,Male,Thailand,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7005,Data Security and Governance,2,12.0,BCO7003,Analytics Project M anagement,1,12.0,,,,,,,,
95273,otHSy,Jose,Cruz,24,Male,Philippines,Digital Media and Content Creation,BCO7000,Business Analytics,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
79039,Mpinu,Ricardo,Reyes,32,Male,Vietnam,Information Technology and Systems,BCO7006,Coding for Business Analytics,1,12,,,,,,,,,,,,,,,,,,,,
18225,gxiWl,Ricardo,Santos,30,Male,Singapore,Leadership and Strategic Management,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
86813,38SzV,Isabela,Cruz,22,Female,Myanmar,Financial and Managerial Accounting,BCO7000,Business Analytics,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
72914,S2jhp,Jose,Cruz,34,Male,Myanmar,Information Technology and Systems,BCO7000,Business Analytics,1,12,,,,,,,,,,,,,,,,,,,,
42741,f6azd,Ricardo,Santos,33,Male,Indonesia,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
59824,DlfBF,Jessica,Santos,21,Female,Laos,Information Technology and Systems,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,1,12.0,,,,
54053,5TdAF,Miguel,Reyes,18,Male,Thailand,Financial and Managerial Accounting,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,,,,,,,,,,,,,,,,
93887,rhiL2,Antonio,Torres,31,Male,Myanmar,Marketing Strategy and Consumer Behavior,BEO6000,Data Analysis for Business,3,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,,,,,
92103,5Ap0X,Juan,Martinez,22,Male,Vietnam,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7002,Experience Management,4,12.0,BCO7003,Analytics Project M anagement,1,12.0,BCO7007,Machine Learning,2,12.0,,,,
73757,YF6OX,Sofia,Garcia,32,Female,Cambodia,Information Technology and Systems,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
60316,Mv2GB,Ismael,Torres,30,Male,Singapore,Information Technology and Systems,BCO7004,Business Data Mining and Warehousing,4,12,BCO7007,Machine Learning,2,12.0,BAO6504,Accounting for Management,1,12.0,,,,,,,,,,,,
85811,yYg7y,Veronica,Cruz,32,Female,Malaysia,Digital Media and Content Creation,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
69522,outZo,Jose,Torres,34,Male,Brunei,Leadership and Strategic Management,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,1,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
02757,cyVPg,Alberto,Flores,31,Male,Cambodia,General Business and Management,BEO6000,Data Analysis for Business,3,12,BCO7007,Machine Learning,2,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
73710,ttrKV,Isabela,Morales,20,Female,Cambodia,General Business and Management,BCO6008,Predictive Analytics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
56738,ZKYhP,Sofia,Flores,18,Female,Singapore,General Business and Management,BCO7007,Machine Learning,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
60381,Yaz46,Antonio,Morales,35,Male,Philippines,Leadership and Strategic Management,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,
37808,coTYu,Sofia,Morales,23,Female,Myanmar,General Business and Management,BCO7002,Experience Management,4,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
67899,rwiGM,Alicia,Garcia,21,Female,Malaysia,Leadership and Strategic Management,BCO6008,Predictive Analytics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
72806,ihVAY,Jose,Torres,21,Male,Singapore,General Business and Management,BCO7004,Business Data Mining and Warehousing,4,12,BCO7005,Data Security and Governance,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
05253,3IZ5P,Jessica,Rivera,32,Female,Thailand,Data-Driven Decision Making and Analytics,BCO7007,Machine Learning,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
72066,hTQyf,Luisa,Flores,23,Female,Myanmar,Marketing Strategy and Consumer Behavior,BEO6000,Data Analysis for Business,3,12,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
00461,jXZjA,Ismael,Rivera,30,Male,Philippines,Financial and Managerial Accounting,BCO6008,Predictive Analytics,2,12,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
87693,xkc6U,Alberto,Gonzalez,31,Male,Brunei,Leadership and Strategic Management,BEO6000,Data Analysis for Business,3,12,BCO7000,Business Analytics,1,12.0,,,,,,,,,,,,,,,,
82279,wab9g,Angelica,Martinez,23,Female,Laos,Operations and Supply Chain Management,BEO6600,Business Economics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
18021,UYgDR,Roberto,Martinez,26,Male,Philippines,Information Technology and Systems,BCO7002,Experience Management,4,12,BCO6008,Predictive Analytics,2,12.0,BCO7006,Coding for Business Analytics,1,12.0,,,,,,,,,,,,
25317,MdEnf,Roberto,Santos,21,Male,Laos,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
78730,GRYNd,Luisa,Morales,32,Female,Laos,Operations and Supply Chain Management,BAO6504,Accounting for Management,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
02821,GhQ6h,Jessica,Gonzalez,32,Female,Thailand,Leadership and Strategic Management,BCO7004,Business Data Mining and Warehousing,4,12,BCO7003,Analytics Project M anagement,1,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
93965,yPXvs,Miguel,Gonzalez,31,Male,Myanmar,Digital Media and Content Creation,BCO7005,Data Security and Governance,2,12,,,,,,,,,,,,,,,,,,,,
22275,Y7am5,Maria,Ramos,20,Female,Singapore,Information Technology and Systems,BCO7000,Business Analytics,1,12,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,,,,,
08204,wfuJM,Carlos,Cruz,22,Male,Malaysia,Operations and Supply Chain Management,BEO6000,Data Analysis for Business,3,12,BEO6600,Business Economics,2,12.0,BAO6504,Accounting for Management,1,12.0,,,,,,,,,,,,
49374,bnV19,Carmen,Reyes,26,Female,Myanmar,Operations and Supply Chain Management,BCO7000,Business Analytics,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
87191,8gcou,Angelica,Rivera,30,Female,Singapore,Operations and Supply Chain Management,BCO6008,Predictive Analytics,2,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
74166,v2VG7,Juan,Santos,35,Male,Thailand,General Business and Management,BCO7007,Machine Learning,2,12,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,,,,,
13755,wm7F5,Miguel,Morales,35,Male,Brunei,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
50647,hpMNR,Ricardo,Morales,34,Male,Indonesia,Marketing Strategy and Consumer Behavior,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
14805,kdFFf,Rosa,Gonzalez,18,Female,Thailand,Financial and Managerial Accounting,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
65717,fsEEa,Alberto,Morales,28,Male,Indonesia,Digital Media and Content Creation,BCO7007,Machine Learning,2,12,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
88458,S9hwq,Jessica,Gonzalez,29,Female,Philippines,Leadership and Strategic Management,BCO7007,Machine Learning,2,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
04785,3DcbP,Veronica,Cruz,29,Female,Brunei,Operations and Supply Chain Management,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
52893,VR6UV,Carlos,Morales,22,Male,Vietnam,Data-Driven Decision Making and Analytics,WOM1000,Women in STEM,1,12,,,,,,,,,,,,,,,,,,,,
64744,LDBI5,Carlos,Morales,21,Male,Thailand,Operations and Supply Chain Management,BEO6000,Data Analysis for Business,3,12,BCO7005,Data Security and Governance,2,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
71958,ny0fT,Isabela,Reyes,33,Female,Laos,Information Technology and Systems,BCO6008,Predictive Analytics,2,12,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
88683,y9irE,Sofia,Martinez,30,Female,Cambodia,Leadership and Strategic Management,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
54417,9xOSw,Roberto,Morales,25,Male,Singapore,Leadership and Strategic Management,BCO7006,Coding for Business Analytics,1,12,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,,,,,
72662,tgWW9,Alicia,Cruz,24,Female,Laos,Operations and Supply Chain Management,BCO7000,Business Analytics,1,12,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
71681,sMcpB,Ismael,Flores,31,Male,Myanmar,Financial and Managerial Accounting,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6000,Data Analysis for Business,3,12.0,BEO6600,Business Economics,2,12.0,,,,,,,,
89034,fPYtl,Maria,Torres,29,Female,Philippines,Information Technology and Systems,BCO7002,Experience Management,4,12,BAO6504,Accounting for Management,1,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
41585,Df4r5,Carmen,Fernandez,35,Female,Thailand,Data-Driven Decision Making and Analytics,BCO7003,Analytics Project M anagement,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
68078,D0tNq,Isabela,Martinez,27,Female,Brunei,Financial and Managerial Accounting,BEO6600,Business Economics,2,12,BCO7000,Business Analytics,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
84701,tR5Fq,Miguel,Morales,31,Male,Malaysia,Leadership and Strategic Management,BCO7005,Data Security and Governance,2,12,BCO7003,Analytics Project M anagement,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
67819,HLFNP,Roberto,Gonzalez,35,Male,Indonesia,Financial and Managerial Accounting,BCO6008,Predictive Analytics,2,12,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,,,,,
79183,tW7cQ,Luisa,Morales,27,Female,Indonesia,General Business and Management,BEO6600,Business Economics,2,12,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
54114,wWg5B,Veronica,Morales,33,Female,Philippines,Operations and Supply Chain Management,BCO7004,Business Data Mining and Warehousing,4,12,BCO7005,Data Security and Governance,2,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
96920,2LyUS,Carmen,Ramos,25,Female,Vietnam,Marketing Strategy and Consumer Behavior,BEO6000,Data Analysis for Business,3,12,BCO7005,Data Security and Governance,2,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
95970,17cNK,Juan,Martinez,18,Male,Myanmar,General Business and Management,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
21444,eKIkF,Luisa,Flores,34,Female,Vietnam,Marketing Strategy and Consumer Behavior,WOM1000,Women in STEM,1,12,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,,,,,
19498,6I2Lm,Angelica,Martinez,27,Female,Indonesia,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
08434,94hJA,Roberto,Santos,28,Male,Cambodia,Digital Media and Content Creation,BCO7005,Data Security and Governance,2,12,,,,,,,,,,,,,,,,,,,,
03523,G7rm6,Ricardo,Ramos,24,Male,Thailand,Marketing Strategy and Consumer Behavior,BEO6600,Business Economics,2,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
10257,cigYv,Rosa,Cruz,26,Female,Brunei,Data-Driven Decision Making and Analytics,BCO7005,Data Security and Governance,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
32572,tKCzh,Maria,Reyes,35,Female,Vietnam,Marketing Strategy and Consumer Behavior,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
02325,TOUd7,Miguel,Martinez,21,Male,Brunei,General Business and Management,BEO6600,Business Economics,2,12,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
75921,ktSJB,Alicia,Santos,28,Female,Vietnam,Digital Media and Content Creation,BEO6000,Data Analysis for Business,3,12,BCO7002,Experience Management,4,12.0,BCO7000,Business Analytics,1,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
67825,FheGb,Carlos,Gonzalez,33,Male,Vietnam,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
45178,MQyPd,Antonio,Santos,29,Male,Laos,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,BCO7007,Machine Learning,2,12.0,BAO6504,Accounting for Management,1,12.0,,,,
15235,0OPnN,Maria,Morales,33,Female,Laos,Operations and Supply Chain Management,BCO7007,Machine Learning,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
45316,qc3fH,Jose,Garcia,32,Male,Vietnam,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,,,,,
91520,rlsSh,Fernando,Reyes,21,Male,Myanmar,General Business and Management,BCO7006,Coding for Business Analytics,1,12,BCO6008,Predictive Analytics,2,12.0,,,,,,,,,,,,,,,,
81744,MCjMJ,Alicia,Flores,32,Female,Cambodia,Data-Driven Decision Making and Analytics,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,1,12.0,,,,
99452,xgztH,Isabela,Reyes,20,Female,Brunei,Financial and Managerial Accounting,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
20673,lqIVs,Miguel,Fernandez,33,Male,Brunei,Financial and Managerial Accounting,BEO6600,Business Economics,2,12,BAO6504,Accounting for Management,1,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
12560,0n97w,Maria,Gonzalez,21,Female,Thailand,Operations and Supply Chain Management,BEO6000,Data Analysis for Business,3,12,BEO6600,Business Economics,2,12.0,BCO7000,Business Analytics,1,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
25961,LJNYd,Ricardo,Garcia,23,Male,Myanmar,General Business and Management,BCO7002,Experience Management,4,12,BEO6600,Business Economics,2,12.0,BAO6504,Accounting for Management,1,12.0,,,,,,,,,,,,
